"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"39","rika Alejandra Olivera de la Fuente","F",40,165,55,20.2020202020202,2016,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",17909754,2.47028e+11,0,0,FALSE,36,FALSE,"2:35:49",155.816666666667,9349
"40","Natalia del Carmen Romero Jaramillo","F",36,163,57,21.4535737137265,2016,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",17909754,2.47028e+11,0,0,FALSE,123,FALSE,"3:01:29",181.483333333333,10889
"41","Natalia del Carmen Romero Jaramillo","F",32,163,57,21.4535737137265,2012,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",17309746,2.67122e+11,0,0,FALSE,69,FALSE,"2:37:47",157.783333333333,9467
"42","Ren Xiujuan","F",25,160,56,21.875,2000,"China","Eastern Asia","Asia",1262645000,1.21135e+12,1,3,FALSE,10,FALSE,"2:27:55",147.916666666667,8875
"43","Li Juan","F",19,160,46,17.96875,1988,"China","Eastern Asia","Asia",1101630000,3.12354e+11,1,3,FALSE,54,FALSE,"2:53:08",173.133333333333,10388
"44","Wang Xueqin","F",21,162,50,19.0519737844841,2012,"China","Eastern Asia","Asia",1350695000,8.56055e+12,1,3,FALSE,22,FALSE,"2:28:21",148.35,8901
"45","Zhu Xiaolin","F",24,168,50,17.7154195011338,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,1,3,TRUE,4,FALSE,"2:27:16",147.266666666667,8836
"46","Hua Shaoqing","F",22,165,50,18.3654729109275,2016,"China","Eastern Asia","Asia",1378665000,1.11991e+13,1,3,FALSE,79,FALSE,"2:45:09",165.15,9909
"47","Zhong Huandi","F",21,155,42,17.4817898022893,1988,"China","Eastern Asia","Asia",1101630000,3.12354e+11,1,3,FALSE,30,FALSE,"2:36:02",156.033333333333,9362
"48","Zhang Shujing","F",25,163,52,19.5716812826979,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,1,3,FALSE,12,FALSE,"2:34:34",154.566666666667,9274
"49","Zhao Youfeng","F",23,168,49,17.3611111111111,1988,"China","Eastern Asia","Asia",1101630000,3.12354e+11,1,3,FALSE,5,FALSE,"2:27:06",147.1,8826
"50","Li Helan","F",26,165,48,17.6308539944904,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,1,3,FALSE,22,FALSE,"2:37:53",157.883333333333,9473
"51","Yue Chao","F",25,165,50,18.3654729109275,2016,"China","Eastern Asia","Asia",1378665000,1.11991e+13,1,3,FALSE,53,FALSE,"2:39:09",159.15,9549
"52","Zhou Chunxiu","F",29,162,45,17.1467764060357,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,1,3,TRUE,3,TRUE,"2:27:07",147.116666666667,8827
