"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"39","Natalia del Carmen Romero Jaramillo","F",32,163,57,21.4535737137265,2012,"Chile","Latin America and the Caribbean","Latin America and the Caribbean",17309746,2.67122e+11,0,0,FALSE,7,0,0,7,163.585714285714,154.916666666667,641.142857142857,759,1.42857142857143,1,248.571428571429,270,889.714285714286,1029,4,69,FALSE,"2:37:47",157.783333333333,9467
"40","Ren Xiujuan","F",25,160,56,21.875,2000,"China","Eastern Asia","Asia",1262645000,1.21135e+12,1,3,FALSE,6,3,1,1,150.261111111111,145.533333333333,828.166666666667,900,1,1,270,270,1098.16666666667,1170,4,10,FALSE,"2:27:55",147.916666666667,8875
"41","Li Juan","F",19,160,46,17.96875,1988,"China","Eastern Asia","Asia",1101630000,3.12354e+11,1,3,FALSE,2,0,0,1,154.658333333333,151.733333333333,763,805,1,1,270,270,1033,1075,4,54,FALSE,"2:53:08",173.133333333333,10388
"42","Wang Xueqin","F",21,162,50,19.0519737844841,2012,"China","Eastern Asia","Asia",1350695000,8.56055e+12,1,3,FALSE,5,0,4,1,150.996666666667,145.883333333333,817.8,895,2.2,1,221,270,1038.8,1128,5,22,FALSE,"2:28:21",148.35,8901
"43","Zhu Xiaolin","F",24,168,50,17.7154195011338,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,1,3,TRUE,5,5,0,0,150.41,143.95,827.6,925,2.2,1,226,270,1053.6,1161,70,4,FALSE,"2:27:16",147.266666666667,8836
"44","Hua Shaoqing","F",22,165,50,18.3654729109275,2016,"China","Eastern Asia","Asia",1378665000,1.11991e+13,1,3,FALSE,3,1,1,1,156.238888888889,149.233333333333,745,843,1,1,270,270,1015,1113,5,79,FALSE,"2:45:09",165.15,9909
"45","Zhong Huandi","F",21,155,42,17.4817898022893,1988,"China","Eastern Asia","Asia",1101630000,3.12354e+11,1,3,FALSE,1,0,0,0,152.216666666667,152.216666666667,798,798,1,1,270,270,1068,1068,17,30,FALSE,"2:36:02",156.033333333333,9362
"46","Zhang Shujing","F",25,163,52,19.5716812826979,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,1,3,FALSE,9,7,1,0,150.072222222222,143.283333333333,832.333333333333,936,1.55555555555556,1,245,270,1077.33333333333,1206,22,12,FALSE,"2:34:34",154.566666666667,9274
"47","Li Helan","F",26,165,48,17.6308539944904,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,1,3,FALSE,5,4,0,0,151.493333333333,146.983333333333,811,878,2.2,1,220,270,1031,1085,22,22,FALSE,"2:37:53",157.883333333333,9473
"48","Yue Chao","F",25,165,50,18.3654729109275,2016,"China","Eastern Asia","Asia",1378665000,1.11991e+13,1,3,FALSE,8,3,3,2,154.7,149.433333333333,764.625,840,1.75,1,239.375,270,1004,1097,17,53,FALSE,"2:39:09",159.15,9549
"49","Zhou Chunxiu","F",29,162,45,17.1467764060357,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,1,3,TRUE,5,4,1,0,141.763333333333,139.85,960.8,992,1,1,270,270,1230.8,1262,29,3,TRUE,"2:27:07",147.116666666667,8827
"50","Zhang Shujing","F",29,163,52,19.5716812826979,2008,"China","Eastern Asia","Asia",1324655000,4.59821e+12,1,3,TRUE,13,10,2,0,149.717948717949,143.283333333333,837.230769230769,936,1.61538461538462,1,241.153846153846,270,1078.38461538462,1206,70,41,FALSE,"2:35:35",155.583333333333,9335
"51","Zhu Xiaolin","F",28,168,50,17.7154195011338,2012,"China","Eastern Asia","Asia",1350695000,8.56055e+12,1,3,FALSE,10,8,0,2,148.281666666667,143.95,859.2,925,2.4,1,215.5,270,1074.7,1161,118,6,FALSE,"2:24:48",144.8,8688
"52","Zhou Chunxiu","F",25,162,45,17.1467764060357,2004,"China","Eastern Asia","Asia",1296075000,1.95535e+12,1,3,FALSE,2,2,0,0,143.575,143.466666666667,931.5,933,1,1,270,270,1201.5,1203,5,33,FALSE,"2:42:54",162.9,9774
"53","Wang Jiali","F",26,160,50,19.53125,2012,"China","Eastern Asia","Asia",1350695000,8.56055e+12,1,3,FALSE,6,3,1,1,150.277777777778,142.683333333333,829.166666666667,946,1,1,270,270,1099.16666666667,1216,5,58,FALSE,"2:35:46",155.766666666667,9346
"54","Angie Orjuela Soche","F",27,158,46,18.4265342092613,2016,"Colombia","Latin America and the Caribbean","Latin America and the Caribbean",48653419,2.82463e+11,0,0,FALSE,4,0,1,1,163.191666666667,154.966666666667,648.5,758,1.5,1,251.25,270,899.75,1028,16,43,FALSE,"2:37:05",157.083333333333,9425
"55","Annemette Jensen","F",32,163,52,19.5716812826979,2004,"Denmark","Northern Europe","Europe",5404523,2.51373e+11,0,0,FALSE,7,2,2,0,154.828571428571,150.116666666667,760.571428571429,830,2,1,231.428571428571,270,992,1100,4,49,FALSE,"2:50:01",170.016666666667,10201
"56","Anne Sofie Holm Baumeister (Jrgensen-)","F",28,168,54,19.1326530612245,2016,"Denmark","Northern Europe","Europe",5731118,3.069e+11,0,0,FALSE,2,0,2,0,156.841666666667,154.466666666667,731.5,765,2,1,232.5,270,964,968,10,55,FALSE,"2:39:49",159.816666666667,9589
"57","Jessica Margaret Aida ""Jess"" Draskau-Petersson","F",34,170,62,21.4532871972318,2012,"Denmark","Northern Europe","Europe",5591572,3.27149e+11,0,0,FALSE,2,2,0,0,164.083333333333,162,632.5,660,4,3,175,195,807.5,855,83,40,FALSE,"2:31:43",151.716666666667,9103
"58","Jessica Margaret Aida ""Jess"" Draskau-Petersson","F",38,170,62,21.4532871972318,2016,"Denmark","Northern Europe","Europe",5731118,3.069e+11,0,0,FALSE,5,4,0,0,156.176666666667,150.116666666667,743.8,830,4.4,2,169,220,912.8,1050,10,40,FALSE,"2:36:14",156.233333333333,9374
"59","Sandra de las Mercedes Ruales Mosquera","F",34,161,53,20.4467420238417,2008,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",14447562,61762635000,0,0,FALSE,7,0,1,0,161.004761904762,157.033333333333,673.857142857143,728,1,1,270,270,943.857142857143,998,43,43,FALSE,"2:35:53",155.883333333333,9353
"60","Mara Elena Calle Galarza","F",41,162,54,20.5761316872428,2016,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",16385068,98613972000,0,0,FALSE,3,2,0,1,163.433333333333,162.316666666667,640.666666666667,655,3.33333333333333,2,190,220,830.666666666667,861,7,99,FALSE,"2:48:39",168.65,10119
"61","Silvia Paredes Yucailla","F",33,164,57,21.192742415229,2016,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",16385068,98613972000,0,0,FALSE,2,0,0,1,165.95,162.083333333333,609,659,2,1,232.5,270,841.5,854,7,95,FALSE,"2:48:01",168.016666666667,10081
"62","Rosa Alba Chacha Chacha","F",33,155,48,19.9791883454735,2016,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",16385068,98613972000,0,0,FALSE,5,1,0,3,158.643333333333,155.483333333333,706,750,4,1,209,270,915,1020,18,100,FALSE,"2:48:52",168.866666666667,10132
"63","Sandra de las Mercedes Ruales Mosquera","F",30,161,53,20.4467420238417,2004,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",13509647,36591661000,0,0,FALSE,3,0,1,0,161.277777777778,157.766666666667,670,718,1,1,270,270,940,988,16,36,FALSE,"2:44:28",164.466666666667,9868
"64","Rosa Alba Chacha Chacha","F",29,155,48,19.9791883454735,2012,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",15419666,87924544000,0,0,FALSE,2,0,0,2,157.366666666667,157.283333333333,723.5,725,2,1,232.5,270,956,995,22,83,FALSE,"2:40:57",160.95,9657
"65","Martha Tenorio Pancar","F",34,154,50,21.0828132906055,2000,"Ecuador","Latin America and the Caribbean","Latin America and the Caribbean",12628596,18327764882,0,0,FALSE,2,0,0,0,157.941666666667,156.666666666667,716,734,1,1,270,270,986,1004,28,25,FALSE,"2:33:54",153.9,9234
"66","Ana Isabel Alonso Nieto","F",32,152,46,19.909972299169,1996,"Spain","Southern Europe","Europe",39889852,6.40998e+11,0,1,FALSE,5,0,0,0,156.56,146.85,737.8,880,2,1,237,270,974.8,1150,10,49,FALSE,"2:44:12",164.2,9852
"67","Mara Elena Espeso Gayte","F",39,161,48,18.5178040970642,2012,"Spain","Southern Europe","Europe",46773055,1.33602e+12,0,1,FALSE,2,0,1,1,153.816666666667,150.866666666667,775,818,1,1,270,270,1045,1088,5,61,FALSE,"2:36:12",156.2,9372
"68","Alessandra Aguilar Morn","F",34,165,50,18.3654729109275,2012,"Spain","Southern Europe","Europe",46773055,1.33602e+12,0,1,FALSE,4,0,3,1,150.033333333333,147,831.25,877,2,1,226.25,270,1057.5,1116,16,26,FALSE,"2:29:19",149.316666666667,8959
"69","Ana Isabel Alonso Nieto","F",37,152,46,19.909972299169,2000,"Spain","Southern Europe","Europe",40567864,5.95403e+11,0,1,FALSE,9,0,2,2,153.692592592593,146.85,778.666666666667,880,1.66666666666667,1,246.111111111111,270,1024.77777777778,1150,58,30,FALSE,"2:36:45",156.75,9405
"70","Alessandra Aguilar Morn","F",30,165,50,18.3654729109275,2008,"Spain","Southern Europe","Europe",45954106,1.63502e+12,0,1,FALSE,1,0,1,0,149.05,149.05,846,846,2,2,220,220,1066,1066,4,54,FALSE,"2:39:29",159.483333333333,9569
"71","Yesenia Centeno Sousa","F",37,157,47,19.0677106576332,2008,"Spain","Southern Europe","Europe",45954106,1.63502e+12,0,1,FALSE,5,0,4,0,162.17,151.266666666667,662.6,812,1.2,1,260,270,922.6,1032,4,45,FALSE,"2:36:25",156.416666666667,9385
"72","Beatriz Ros Blanco","F",30,169,50,17.5063898322888,2004,"Spain","Southern Europe","Europe",42921895,1.06956e+12,0,1,FALSE,3,2,0,0,151.694444444444,149.416666666667,806.333333333333,840,2.33333333333333,2,211.666666666667,220,1018,1060,12,32,FALSE,"2:41:51",161.85,9711
"73","Vanessa Veiga Comesaa","F",33,159,43,17.0088208536055,2012,"Spain","Southern Europe","Europe",46773055,1.33602e+12,0,1,FALSE,1,0,0,0,152.95,152.95,787,787,2,2,220,220,1007,1007,8,97,FALSE,"2:46:53",166.883333333333,10013
"74","Lily Luik","F",30,163,48,18.066167337875,2016,"Estonia","Northern Europe","Europe",1316481,23337907619,0,0,FALSE,4,0,0,1,167.05,160.5,596,680,2.5,1,215,270,811,855,9,97,FALSE,"2:48:29",168.483333333333,10109
"75","Leila Luik","F",30,165,48,17.6308539944904,2016,"Estonia","Northern Europe","Europe",1316481,23337907619,0,0,FALSE,5,1,2,0,163.53,157.2,641,726,3.2,1,210,270,851,996,32,114,FALSE,"2:54:38",174.633333333333,10478
"76","Evelin Talts","F",35,158,54,21.6311488543503,2012,"Estonia","Northern Europe","Europe",1322696,23043864510,0,0,FALSE,2,0,1,0,169.308333333333,159.3,572,697,5.5,2,150,220,722,777,4,103,FALSE,"2:54:15",174.25,10455
"77","Fatuma Roba","F",26,160,49,19.140625,2000,"Ethiopia","Sub-Saharan Africa","Africa",66537331,8242392104,2,5,FALSE,5,1,3,0,151.12,146.083333333333,815.8,892,1.4,1,250,270,1065.8,1162,49,9,FALSE,"2:27:38",147.633333333333,8858
