"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"59","Crispin Quispe","M",26,163,56,21.0771952275208,1972,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",4698083,1257615645,0,1,FALSE,61,FALSE,"3:07:22",187.366666666667,11242
"60","Juan Rodrigo Camacho","M",29,176,62,20.0154958677686,1988,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",6592787,4597615563,0,1,FALSE,69,FALSE,"2:34:41",154.683333333333,9281
"61","Policarpio Calizaya Huaca","M",33,172,62,20.9572742022715,1996,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",7717443,7396966657,0,1,FALSE,91,FALSE,"2:33:08",153.133333333333,9188
"62","Juan Rodrigo Camacho","M",33,176,62,20.0154958677686,1992,"Boliva","Latin America and the Caribbean","Latin America and the Caribbean",7131707,5643893347,0,1,FALSE,57,FALSE,"2:26:01",146.016666666667,8761
"63","Tiyapo Maso","M",27,170,58,20.0692041522491,2000,"Botswana","Sub-Saharan Africa","Africa",1728340,5788329609,0,13,FALSE,77,FALSE,"2:38:53",158.883333333333,9533
"64","Benjamin Keleketu","M",27,150,55,24.4444444444444,1992,"Botswana","Sub-Saharan Africa","Africa",1455833,4146513722,0,13,FALSE,83,FALSE,"2:45:57",165.95,9957
"65","Ndabili Bashingili","M",28,172,59,19.9432125473229,2008,"Botswana","Sub-Saharan Africa","Africa",1946351,10945070442,0,13,FALSE,56,FALSE,"2:25:11",145.183333333333,8711
"66","Ndabili Bashingili","M",24,172,59,19.9432125473229,2004,"Botswana","Sub-Saharan Africa","Africa",1829330,8957467707,0,13,FALSE,25,FALSE,"2:18:09",138.15,8289
"67","Bigboy Josie Matlapeng","M",30,175,69,22.530612244898,1988,"Botswana","Sub-Saharan Africa","Africa",1301818,2644536804,0,13,FALSE,34,FALSE,"2:20:51",140.85,8451
"68","Wilson Theleso","M",24,170,65,22.4913494809689,1984,"Botswana","Sub-Saharan Africa","Africa",1151292,1240796365,0,13,FALSE,55,FALSE,"2:29:20",149.333333333333,8960
"69","Paulo Roberto de Almeida Paula","M",37,170,55,19.0311418685121,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,1,1,TRUE,15,FALSE,"2:13:56 ",133.933333333333,8036
"70","Solonei Rocha da Silva","M",34,172,65,21.9713358572201,2016,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",207652865,1.79619e+12,1,1,TRUE,78,FALSE,"2:22:05",142.083333333333,8525
"71","Vanderlei Cordeiro de Lima","M",26,168,54,19.1326530612245,1996,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",164913306,8.50426e+11,1,1,FALSE,47,FALSE,"2:21:01",141.016666666667,8461
"72","Diamantino Silveira dos Santos","M",35,166,59,21.4109449847583,1996,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",164913306,8.50426e+11,1,1,FALSE,10,FALSE,"2:15:55",135.916666666667,8155
"73","Diamantino Silveira dos Santos","M",35,166,59,21.4109449847583,1996,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",164913306,8.50426e+11,1,1,FALSE,73,FALSE,"2:26:53",146.883333333333,8813
"74","Vanderlei Cordeiro de Lima","M",35,168,54,19.1326530612245,2004,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",184738458,6.69316e+11,1,1,FALSE,3,TRUE,"2:12:11",132.183333333333,7931
"75","Vanderlei Cordeiro de Lima","M",31,168,54,19.1326530612245,2000,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",175287587,6.55421e+11,1,1,FALSE,75,FALSE,"2:37:08",157.133333333333,9428
"76","Eloi Rodrgues Schleder","M",33,176,64,20.6611570247934,1984,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",132800684,2.09024e+11,1,1,FALSE,23,FALSE,"2:16:35",136.583333333333,8195
"77","Paulo Roberto de Almeida Paula","M",33,170,55,19.0311418685121,2012,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",200560983,2.46519e+12,1,1,FALSE,8,FALSE,"2:12:17",132.283333333333,7937
"78","Marlson Gomes dos Santos","M",34,174,58,19.1570881226054,2012,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",200560983,2.46519e+12,1,1,FALSE,5,FALSE,"2:11:10",131.166666666667,7870
"79","Franck Caldeira de Almeida","M",29,173,49,16.3720805907314,2012,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",200560983,2.46519e+12,1,1,FALSE,13,FALSE,"2:13:35",133.583333333333,8015
"80","Luiz Antnio dos Santos","M",32,168,65,23.0300453514739,1996,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",164913306,8.50426e+11,1,1,FALSE,10,FALSE,"2:15:55",135.916666666667,8155
"81","Luiz Antnio dos Santos","M",32,168,65,23.0300453514739,1996,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",164913306,8.50426e+11,1,1,FALSE,73,FALSE,"2:26:53",146.883333333333,8813
"82","Osmiro de Souza Silva","M",30,182,65,19.6232339089482,1992,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",154564278,4.00599e+11,1,1,FALSE,24,FALSE,"2:17:16",137.266666666667,8236
"83","Diamantino Silveira dos Santos","M",27,166,59,21.4109449847583,1988,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",144001542,3.30397e+11,1,1,FALSE,48,FALSE,"2:25:13",145.216666666667,8713
"84","Jos Teles de Souza","M",37,163,58,21.8299521999323,2008,"Brazil","Latin America and the Caribbean","Latin America and the Caribbean",192979029,1.69582e+12,1,1,FALSE,38,FALSE,"2:20:25",140.416666666667,8425
"85","Saad Hamada Mubarak Ali","M",31,165,67,24.6097337006428,1992,"Bahrain","Western Asia","Asia",523087,4751063830,0,0,FALSE,79,FALSE,"2:39:19",159.316666666667,9559
"86","Nasar Sakar Saeed","M",30,174,66,21.7994451050337,2008,"Bahrain","Western Asia","Asia",1114590,25710877660,0,0,FALSE,37,FALSE,"2:20:24",140.4,8424
"87","Petko Lyubenov Stefanov","M",24,167,56,20.0796012764889,1996,"Bulgaria","Eastern Europe","Europe",8362826,10109404160,0,0,FALSE,80,FALSE,"2:29:06",149.1,8946
"88","Petko Lyubenov Stefanov","M",28,167,56,20.0796012764889,2000,"Bulgaria","Eastern Europe","Europe",8170172,13148099185,0,0,FALSE,60,FALSE,"2:26:24",146.4,8784
"89","Ferdinand Amadi","M",21,170,60,20.7612456747405,1992,"Central African Republic","Sub-Saharan Africa","Africa",3095807,1411917558,0,13,FALSE,74,FALSE,"2:35:39",155.65,9339
"90","Kuniaki Takizaki","M",38,151,55,24.1217490460945,2016,"Cambodia","South-eastern Asia","Asia",15762370,20016747754,0,0,FALSE,139,FALSE,"2:45:55",165.916666666667,9955
