"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","marathons","Gmarathons","Smarathons","Bmarathons","avgTime","bestTime","avgTimeScore","bestTimeScore","avgPosition","bestPosition","avgPositionScore","bestPositionScore","avgPerformanceScore","bestPerformanceScore","monthsBestTime","Position","Medal","Time","TimeMins","TimeSecs"
"310","Abdi Nageeye","M",27,165,54,19.8347107438017,2016,"Netherlands","Western Europe","Europe",17018408,7.77228e+11,0,4,FALSE,2,0,1,0,130.975,130.4,1144,1154,1,1,270,270,1414,1424,10,11,FALSE,"2:13:01",133.016666666667,7981
"311","Albert ""Bert"" van Vlaanderen","M",31,180,60,18.5185185185185,1996,"Netherlands","Western Europe","Europe",15530498,4.45705e+11,0,4,FALSE,5,2,3,0,131.873333333333,130.6,1128.2,1151,1.6,1,245,270,1373.2,1421,16,45,FALSE,"2:20:48",140.8,8448
"312","Martin ""Marti"" ten Kate","M",29,172,58,19.6051919956733,1988,"Netherlands","Western Europe","Europe",14760094,2.58568e+11,0,4,FALSE,3,0,2,0,132.855555555556,131.816666666667,1111,1129,1.33333333333333,1,253.333333333333,270,1364.33333333333,1380,4,15,FALSE,"2:14:53",134.883333333333,8093
"313","Albert ""Bert"" van Vlaanderen","M",27,180,60,18.5185185185185,1992,"Netherlands","Western Europe","Europe",15184166,3.5833e+11,0,4,FALSE,2,1,1,0,132.333333333333,131.883333333333,1120,1128,1.5,1,245,270,1365,1382,4,15,FALSE,"2:15:47",135.783333333333,8147
"314","Kamiel Maase","M",36,191,70,19.1880705024533,2008,"Netherlands","Western Europe","Europe",16445593,9.36228e+11,0,4,FALSE,6,0,6,0,131.169444444444,128.35,1141.16666666667,1191,1.5,1,245,270,1386.16666666667,1458,10,39,FALSE,"2:20:30",140.5,8430
"315","Greg van Hest","M",27,184,69,20.3804347826087,2000,"Netherlands","Western Europe","Europe",15925513,4.12807e+11,0,4,FALSE,2,0,2,0,131.516666666667,130.083333333333,1134.5,1160,2.5,1,222.5,270,1357,1430,16,25,FALSE,"2:18:00",138,8280
"316","Kamiel Maase","M",28,191,70,19.1880705024533,2000,"Netherlands","Western Europe","Europe",15925513,4.12807e+11,0,4,FALSE,1,0,1,0,130.15,130.15,1159,1159,2,2,220,220,1379,1379,16,13,FALSE,"2:16:24",136.4,8184
"317","Baikuntha Manandhar","M",27,162,50,19.0519737844841,1980,"Nepal","Southern Asia","Asia",14902163,1945916583,0,0,FALSE,1,0,0,0,150.116666666667,150.116666666667,830,830,16,16,34,34,864,864,49,37,FALSE,"2:23:51",143.85,8631
"318","Arjun Kumar Basnet","M",32,171,58,19.8351629561233,2008,"Nepal","Southern Asia","Asia",26475859,12545438605,0,0,FALSE,2,0,0,0,145.791666666667,143.2,896.5,937,1.5,1,245,270,1141.5,1207,31,45,FALSE,"2:23:09",143.15,8589
"319","Baikuntha Manandhar","M",23,162,50,19.0519737844841,1976,"Nepal","Southern Asia","Asia",13621110,1452792989,0,0,FALSE,1,0,0,0,150.116666666667,150.116666666667,830,830,16,16,34,34,864,864,1,50,FALSE,"2:30:07",150.116666666667,9007
"320","Tika Bahadur Bogati","M",33,164,56,20.8209399167162,1996,"Nepal","Southern Asia","Asia",21903379,4521580381,0,0,FALSE,1,0,1,0,151.816666666667,151.816666666667,804,804,16,16,34,34,838,838,94,74,FALSE,"2:27:04",147.066666666667,8824
"321","Baikuntha Manandhar","M",31,162,50,19.0519737844841,1984,"Nepal","Southern Asia","Asia",16347242,2581207388,0,0,FALSE,3,0,0,0,145.227777777778,141.716666666667,906,961,10,5,89.6666666666667,155,995.666666666667,1116,12,46,FALSE,"2:22:52",142.866666666667,8572
"322","Baikuntha Manandhar","M",35,162,50,19.0519737844841,1988,"Nepal","Southern Asia","Asia",17873667,3487009748,0,0,FALSE,5,0,0,0,142.716666666667,135.05,946.8,1073,8.6,1,117.8,270,1064.6,1343,9,54,FALSE,"2:25:57",145.95,8757
"323","Urige Arado Buta","M",33,180,64,19.7530864197531,2012,"Norway","Northern Europe","Europe",5018573,5.10229e+11,0,2,FALSE,6,1,3,0,133.194444444444,129.45,1105.5,1171,1.5,1,249.166666666667,270,1354.66666666667,1441,28,36,FALSE,"2:17:58",137.966666666667,8278
"324","Sondre Nordstad Moen","M",25,178,62,19.5682363337962,2016,"Norway","Northern Europe","Europe",5232929,3.71076e+11,0,2,FALSE,1,0,0,0,132.9,132.9,1110,1110,1,1,270,270,1380,1380,9,19,FALSE,"2:14:17",134.283333333333,8057
"325","Jonathan Craig Wyatt","M",31,175,63,20.5714285714286,2004,"New Zealand","Australia and New Zealand","Oceania",4087500,1.03906e+11,0,0,FALSE,4,1,1,0,134.341666666667,133,1085,1108,2,1,233.75,270,1318.75,1355,16,21,FALSE,"2:17:45",137.75,8265
"326","Jeffrey Lynn ""Jeff"" Julian","M",29,172,60,20.2812330989724,1964,"New Zealand","Australia and New Zealand","Oceania",2585400,7274144351,0,0,FALSE,1,0,0,0,144.85,144.85,911,911,5,5,155,155,1066,1066,47,29,FALSE,"2:27:57.6",147.95,8877
"327","John Campbell","M",39,175,57,18.6122448979592,1988,"New Zealand","Australia and New Zealand","Oceania",3283400,45176167472,0,0,FALSE,1,0,0,0,132.633333333333,132.633333333333,1115,1115,1,1,270,270,1385,1385,33,12,FALSE,"2:14:08",134.133333333333,8048
"328","Derek Owen Froude","M",25,182,64,19.3213380026567,1984,"New Zealand","Australia and New Zealand","Oceania",3227100,21665456808,0,0,FALSE,1,0,0,0,135.116666666667,135.116666666667,1072,1072,1,1,270,270,1342,1342,33,34,FALSE,"2:19:44",139.733333333333,8384
"329","Dale Richard Warrender","M",30,180,69,21.2962962962963,2004,"New Zealand","Australia and New Zealand","Oceania",4087500,1.03906e+11,0,0,FALSE,3,1,1,0,133.977777777778,132.966666666667,1091.33333333333,1109,2.66666666666667,1,215,270,1306.33333333333,1339,8,33,FALSE,"2:19:42",139.7,8382
"330","Rex Albert Wilson","M",32,172,62,20.9572742022715,1992,"New Zealand","Australia and New Zealand","Oceania",3531700,41649298171,0,0,FALSE,5,2,1,0,133.073333333333,130.8,1107.2,1147,1.8,1,247,270,1354.2,1417,22,16,FALSE,"2:15:51",135.85,8151
"331","Derek Owen Froude","M",33,182,64,19.3213380026567,1992,"New Zealand","Australia and New Zealand","Oceania",3531700,41649298171,0,0,FALSE,6,1,0,1,134.988888888889,132.666666666667,1074.5,1114,3,1,219.166666666667,270,1293.66666666667,1384,46,35,FALSE,"2:19:37",139.616666666667,8377
"332","Jorge Castelblanco","M",28,169,58,20.307412205455,2016,"Panama","Latin America and the Caribbean","Latin America and the Caribbean",4034119,55187700000,0,1,FALSE,2,0,1,0,144.466666666667,135.95,922,1057,2.5,1,222.5,270,1144.5,1232,4,135,FALSE,"2:39:25",159.416666666667,9565
"333","Miguel Mallqui","M",24,167,58,20.7967298935064,1996,"Peru","Latin America and the Caribbean","Latin America and the Caribbean",24441074,55252414130,0,1,FALSE,1,0,0,0,139.666666666667,139.666666666667,995,995,1,1,270,270,1265,1265,4,71,FALSE,"2:25:56",145.933333333333,8756
"334","Cristhian Simen Pacheco Mendoza","M",23,162,50,19.0519737844841,2016,"Peru","Latin America and the Caribbean","Latin America and the Caribbean",31773839,1.92207e+11,0,1,FALSE,1,0,1,0,132.266666666667,132.266666666667,1121,1121,1,1,270,270,1391,1391,4,52,FALSE,"2:18:41",138.683333333333,8321
"335","Eduardo Buenavista","M",24,152,62,26.8351800554017,2004,"Philippines","South-eastern Asia","Asia",84678493,91371239765,0,0,FALSE,1,0,0,0,138.733333333333,138.733333333333,1011,1011,1,1,270,270,1281,1281,6,67,FALSE,"2:28:18",148.3,8898
"336","John Kokinai","M",25,168,57,20.1955782312925,1976,"Papua New Guinea","Melanesia","Oceania",2957339,1511856584,0,0,FALSE,1,0,0,0,161.816666666667,161.816666666667,662,662,20,20,25,25,687,687,1,59,FALSE,"2:41:49",161.816666666667,9709
"337","Tau John Tokwepota","M",28,163,48,18.066167337875,1984,"Papua New Guinea","Melanesia","Oceania",3694041,2552526263,0,0,FALSE,1,0,0,0,158.083333333333,158.083333333333,714,714,18,18,29,29,743,743,97,66,FALSE,"2:36:36",156.6,9396
"338","Tau John Tokwepota","M",20,163,48,18.066167337875,1976,"Papua New Guinea","Melanesia","Oceania",2957339,1511856584,0,0,FALSE,1,0,0,0,158.083333333333,158.083333333333,714,714,18,18,29,29,743,743,1,56,FALSE,"2:38:04",158.066666666667,9484
"339","Jan Huruk","M",32,178,63,19.8838530488575,1992,"Poland","Eastern Europe","Europe",38363667,94337050693,0,0,FALSE,5,3,0,0,132.223333333333,130.116666666667,1122.6,1159,1.4,1,250,270,1372.6,1427,4,7,FALSE,"2:14:32",134.533333333333,8072
"340","Arkadiusz Rafa Sowa","M",29,172,58,19.6051919956733,2008,"Poland","Eastern Europe","Europe",38125759,5.33816e+11,0,0,FALSE,2,1,1,0,133.325,132,1103,1126,2,1,232.5,270,1335.5,1350,11,54,FALSE,"2:24:48",144.8,8688
"341","Yared Neda Shegumo","M",33,178,62,19.5682363337962,2016,"Poland","Eastern Europe","Europe",37948016,4.71364e+11,0,0,FALSE,4,1,0,1,131.8375,130.566666666667,1128.75,1151,2,1,241.25,270,1370,1421,35,128,FALSE,"2:31:54",151.9,9114
"342","Waldemar Glinka","M",36,175,76,24.8163265306122,2004,"Poland","Eastern Europe","Europe",38182222,2.55102e+11,0,0,FALSE,8,2,0,1,134.222916666667,131.666666666667,1087.5,1132,1.375,1,254.375,270,1341.875,1402,44,34,FALSE,"2:19:43",139.716666666667,8383
"343","Grzegorz Gajdus","M",29,181,70,21.3668691431885,1996,"Poland","Eastern Europe","Europe",38624370,1.59943e+11,0,0,FALSE,3,2,0,0,131.177777777778,129.816666666667,1140.66666666667,1165,1.66666666666667,1,245,270,1385.66666666667,1412,28,61,FALSE,"2:23:41",143.683333333333,8621
