Date,Label,Competition,Status,Venue,Country,Men's winner,Women's winner
6-Dec-20,Silver,SCO Kunming International Marathon,,Kunming,,,
6-Dec-20,Platinum,Maratón Valencia Trinidad Alfonso EDP,,Valencia,,,
6-Dec-20,Bronze,Marathon COMAR de la ville de Tunis,,Tunis,,,
11-Dec-20,Bronze,ADNOC Abu Dhabi Marathon,,Abu Dhabi,,,
13-Dec-20,Gold,Guangzhou Marathon,,Guangzhou,,,
13-Dec-20,Bronze,Zurich Maratón Málaga,,Málaga,,,
13-Dec-20,Bronze,Shanghai International Half Marathon,,Shanghai,,,
20-Dec-20,Bronze,Taipei Marathon,,Taipei City,,,
20-Dec-20,Silver,Tata Steel Kolkata 25K,,Kolkata,,,
20-Dec-20,Gold,Shenzhen Marathon,,Shenzhen,,,
20-Dec-20,Gold,Bangsaen21 Half Marathon,,Chonburi,,,
27-Dec-20,Silver,Corrida Pédestre Internationale de Houilles,,Houilles,,,
27-Dec-20,Bronze,Shantou Marathon,,Shantou,,,
31-Dec-20,Bronze,Corrida Internacional de São Silvestre,,Sao Paulo,,,
31-Dec-20,Bronze,BOclassic Südtirol,,Bolzano,,,
31-Dec-20,Gold,Nationale Nederlanden San Silvestre Vallecana,,Madrid,,,
