Name,Performance,Place,Date
Herpasa NEGASA,2:03:40,Dubai (UAE),25 JAN 2019
Herpasa NEGASA,2:09:14,Hengshui (CHN),29 SEP 2018
Herpasa NEGASA,2:10:17,Mumbai (IND),17 JAN 2016
Herpasa NEGASA,2:10:17,Lyon (FRA),04 OCT 2015
Herpasa NEGASA,2:10:51,Dubai (UAE),25 JAN 2013
Filex Kipchirchir KIPROTICH,4:31.34,"Lexington, VA (USA)",20 JAN 2018
Filex Kipchirchir KIPROTICH,4:15.86,"Landover, MD (USA)",18 FEB 2017
Felix KIMUTAI,2:09:23,Dongying (CHN),20 APR 2019
Felix KIMUTAI,2:09:57,Istanbul (TUR),11 NOV 2018
Felix KIMUTAI,2:10:34,Warszawa (POL),23 APR 2017
Felix KIMUTAI,2:11:14,Cannes (FRA),13 NOV 2016
Felix KIMUTAI,2:20:59,Barcelona (ESP),06 MAR 2011
Getaneh MOLLA,2:08:12,Tokyo (JPN),01 MAR 2020
Getaneh MOLLA,2:03:34,Dubai (UAE),25 JAN 2019
Martin KIPRUGUT KOSGEY,2:07:20,Frankfurt (GER),27 OCT 2019
Martin KIPRUGUT KOSGEY,2:06:41,Frankfurt (GER),28 OCT 2018
Martin KIPRUGUT KOSGEY,2:09:39,Frankfurt (GER),29 OCT 2017
Martin KIPRUGUT KOSGEY,2:07:22,Frankfurt (GER),30 OCT 2016
Martin KIPRUGUT KOSGEY,2:09:50,Hannover (GER),19 APR 2015
Martin KIPRUGUT KOSGEY,2:11:37,Hannover (GER),27 APR 2014
Martin KIPRUGUT KOSGEY,2:19:21,Marseille (FRA),24 MAR 2013
Martin KIPRUGUT KOSGEY,2:13:35,Münster (GER),09 SEP 2012
Hayle LEMI,2:05:09,Toronto (CAN),20 OCT 2019
Hayle LEMI,2:08:51,Hengshui (CHN),29 SEP 2018
Hayle LEMI,2:08:27,Xiamen (CHN),02 JAN 2017
Hayle LEMI,2:04:33,Dubai (UAE),22 JAN 2016
Hayle LEMI,2:05:28,Dubai (UAE),23 JAN 2015
Hayle LEMI,2:10:40,Zürich (SUI),06 APR 2014
Abrha MILAW ASEFA,2:07:05,Paris (FRA),14 APR 2019
Abrha MILAW ASEFA,2:07:25,Cannes (FRA),04 NOV 2018
Abrha MILAW ASEFA,2:11:36,Stockholm (SWE),03 JUN 2017
Abrha MILAW ASEFA,2:08:09,Xiamen (CHN),03 JAN 2015
Abrha MILAW ASEFA,2:07:46,Dubai (UAE),24 JAN 2014
Abrha MILAW ASEFA,2:20:54,San Sebastián (ESP),27 NOV 2011
Marius KIMUTAI,2:09:43,Taiyuan (CHN),08 SEP 2019
Marius KIMUTAI,2:07:45,Seoul (KOR),18 MAR 2018
Marius KIMUTAI,2:06:04,Rotterdam (NED),09 APR 2017
Marius KIMUTAI,2:05:47,Amsterdam (NED),16 OCT 2016
Marius KIMUTAI,2:12:27,Danzhou (CHN),20 DEC 2014
Marius KIMUTAI,2:25:15,Porto (POR),03 NOV 2013
Philemon RONO,2:05:00,Toronto (CAN),20 OCT 2019
Philemon RONO,2:13:37,Toronto (CAN),21 OCT 2018
Philemon RONO,2:06:52,Toronto (CAN),22 OCT 2017
Philemon RONO,2:07:20,Hamburg (GER),17 APR 2016
Philemon RONO,2:08:18,Hamburg (GER),26 APR 2015
Philemon RONO,2:07:07,Hamburg (GER),04 MAY 2014
Kinde ATANAW,2:03:51,Valencia (ESP),01 DEC 2019
Thomas KIPLAGAT,2:06:00,Seoul (KOR),17 MAR 2019
Thomas KIPLAGAT,2:08:55,Paris (FRA),08 APR 2018
Thomas KIPLAGAT,2:09:13,Seoul (KOR),05 NOV 2017
Thomas KIPLAGAT,2:08:34,Dubai (UAE),22 JAN 2016
Thomas KIPLAGAT,2:07:52,Seoul (KOR),09 NOV 2014
Thomas KIPLAGAT,2:18:19,Eldoret (KEN),17 NOV 2013
Stephen MOKOKA,8:56.48,Durban (RSA),17 APR 2004
Stephen MOKOKA,9:04.72,Port Elizabeth (RSA),29 MAR 2003
Mekuant Ayenew GEBRE,2:04:46,Sevilla (ESP),23 FEB 2020
Mekuant Ayenew GEBRE,2:11:16,Mumbai (IND),20 JAN 2019
Mekuant Ayenew GEBRE,2:09:20,Dubai (UAE),26 JAN 2018
Mekuant Ayenew GEBRE,2:09:00,Praha (CZE),07 MAY 2017
Mekuant Ayenew GEBRE,2:11:09,Beijing (CHN),17 SEP 2016
Mekuant Ayenew GEBRE,2:11:01,Hefei (CHN),25 OCT 2015
Mekuant Ayenew GEBRE,2:11:46,Hannover (GER),27 APR 2014
Mekuant Ayenew GEBRE,2:10:05,Hannover (GER),05 MAY 2013
Mekuant Ayenew GEBRE,2:12:19,Dubai (UAE),27 JAN 2012
Shifera TAMRU,2:05:18,Dubai (UAE),25 JAN 2019
Shifera TAMRU,2:08:50,Chuncheon (KOR),28 OCT 2018
Birhan NEBEBEW,2:08:16,Xiamen (CHN),05 JAN 2020
Birhan NEBEBEW,2:06:52,Lisboa (POR),20 OCT 2019
Mike KIPTUM,2:06:22,Seoul (KOR),17 MAR 2019
Mike KIPTUM,2:09:34,Gyeongju (KOR),21 OCT 2018
Mike KIPTUM,2:21:34,Medellín (COL),17 SEP 2017
Abebe Negewo DEGEFA,2:04:51,Valencia (ESP),01 DEC 2019
Abebe Negewo DEGEFA,2:11:02,Roma (ITA),10 APR 2016
Abebe Negewo DEGEFA,2:12:23,Roma (ITA),22 MAR 2015
Abebe Negewo DEGEFA,2:10:54,Beijing (CHN),19 OCT 2014
Abebe Negewo DEGEFA,2:08:46,Beijing (CHN),20 OCT 2013
Abebe Negewo DEGEFA,2:19:30,Brescia (ITA),13 MAR 2011
Abebe Negewo DEGEFA,2:13:04,Milano (ITA),11 APR 2010
Abebe Negewo DEGEFA,2:09:52,Wien (AUT),19 APR 2009
Abebe Negewo DEGEFA,2:21:10,Milano (ITA),23 NOV 2008
Daniel KIBET,2:06:49,Sevilla (ESP),17 FEB 2019
Daniel KIBET,2:11:13,Rotterdam (NED),08 APR 2018
Gebretsadik ABRAHA,2:08:04,Guangzhou (CHN),08 DEC 2019
Gebretsadik ABRAHA,2:08:36,Ljubljana (SLO),28 OCT 2018
Gebretsadik ABRAHA,2:08:47,Praha (CZE),07 MAY 2017
Gebretsadik ABRAHA,2:08:17,Paris (FRA),03 APR 2016
Gebretsadik ABRAHA,2:08:38,Valencia (ESP),15 NOV 2015
Gebretsadik ABRAHA,2:07:06,Daegu (KOR),06 APR 2014
Gebretsadik ABRAHA,2:09:00,Xiamen (CHN),05 JAN 2013
Gebretsadik ABRAHA,2:06:23,Amsterdam (NED),21 OCT 2012
Kenneth Kiprop KIPKEMOI,2:05:44,Rotterdam (NED),08 APR 2018
Kenneth Kiprop KIPKEMOI,2:09:43,Gongju (KOR),15 OCT 2017
Kenneth Kiprop KIPKEMOI,2:12:08,Gongju (KOR),11 OCT 2015
Yuta SHITARA,2:07:45,Tokyo (JPN),01 MAR 2020
Yuta SHITARA,2:07:50,Gold Coast (AUS),07 JUL 2019
Yuta SHITARA,2:06:11,Tokyo (JPN),25 FEB 2018
Yuta SHITARA,2:09:03,Berlin (GER),24 SEP 2017
Seifu TURA,2:06:26,Dubai (UAE),24 JAN 2020
Seifu TURA,2:08:35,"Chicago, IL (USA)",13 OCT 2019
Seifu TURA,2:04:44,Dubai (UAE),26 JAN 2018
Seifu TURA,2:09:26,Seoul (KOR),05 NOV 2017
Edwin KOECH,2:09:20,Cape Town (RSA),15 SEP 2019
Edwin KOECH,2:09:44,Dalian (CHN),13 MAY 2018
Edwin KOECH,2:09:06,Linz (AUT),03 APR 2016
Edwin KOECH,2:08:17,Eindhoven (NED),11 OCT 2015
Edwin KOECH,2:09:04,Ljubljana (SLO),26 OCT 2014
Vincent RONO,7:43.04,Düsseldorf (GER),03 FEB 2016
Vincent RONO,7:59.43,Mondeville (FRA),07 FEB 2015
Vincent RONO,7:55.45,Glasgow (GBR),25 JAN 2014
Vincent RONO,7:55.68,Metz (FRA),24 FEB 2013
Vincent RONO,7:37.87,Gent (BEL),13 FEB 2011
Vincent RONO,7:47.60,Gent (BEL),14 FEB 2010
Yitayal Atnafu ZERIHUN,7:52.41,Praha (CZE),25 FEB 2014
Yitayal Atnafu ZERIHUN,7:54.95,Gent (BEL),10 FEB 2013
Yitayal Atnafu ZERIHUN,7:39.78,Karlsruhe (GER),12 FEB 2012
Tadesse ABRAHAM,2:07:24,Wien (AUT),07 APR 2019
Tadesse ABRAHAM,2:11:24,"Olympiastadion, Berlin (GER)",12 AUG 2018
Tadesse ABRAHAM,2:12:01,"New York, NY (USA)",05 NOV 2017
Tadesse ABRAHAM,2:06:40,Seoul (KOR),20 MAR 2016
Tadesse ABRAHAM,2:11:37,Seoul (KOR),15 MAR 2015
Tadesse ABRAHAM,2:15:05,"Letzigrund, Zürich (SUI)",17 AUG 2014
Tadesse ABRAHAM,2:07:45,Zürich (SUI),07 APR 2013
Tadesse ABRAHAM,2:10:26,Daegu (KOR),08 APR 2012
Tadesse ABRAHAM,2:12:48,Toronto (CAN),16 OCT 2011
Tadesse ABRAHAM,2:09:24,Berlin (GER),26 SEP 2010
Tadesse ABRAHAM,2:10:09,Zürich (SUI),26 APR 2009
Regasa BEJIGA,2:06:24,Sevilla (ESP),23 FEB 2020
Regasa BEJIGA,2:09:38,Ljubljana (SLO),27 OCT 2019
Regasa BEJIGA,2:15:07,Chongqing (CHN),25 MAR 2018
Regasa BEJIGA,2:10:51,Wien (AUT),23 APR 2017
Regasa BEJIGA,2:11:23,Zhengzhou (CHN),27 MAR 2016
Regasa BEJIGA,2:18:02,Bangalore (IND),21 DEC 2014
Anthony MARITIM,2:06:54,Barcelona (ESP),10 MAR 2019
Anthony MARITIM,2:08:08,Barcelona (ESP),11 MAR 2018
Anthony MARITIM,2:09:11,Linz (AUT),09 APR 2017
Anthony MARITIM,2:11:17,Oita (JPN),07 FEB 2016
Anthony MARITIM,2:09:39,Linz (AUT),19 APR 2015
Anthony MARITIM,2:10:26,Köln (GER),14 SEP 2014
Abdi NAGEEYE,2:06:17,Rotterdam (NED),07 APR 2019
Abdi NAGEEYE,2:08:16,Amsterdam (NED),15 OCT 2017
Abdi NAGEEYE,2:13:01,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Abdi NAGEEYE,2:10:24,Amsterdam (NED),18 OCT 2015
Abdi NAGEEYE,2:11:33,Enschede (NED),27 APR 2014
Reuben Kiprop KIPYEGO,2:04:40,Abu Dhabi (UAE),06 DEC 2019
Koen NAERT,2:07:39,Rotterdam (NED),07 APR 2019
Koen NAERT,2:09:51,"Olympiastadion, Berlin (GER)",12 AUG 2018
Koen NAERT,2:10:16,Rotterdam (NED),09 APR 2017
Koen NAERT,2:12:27,Frankfurt (GER),30 OCT 2016
Koen NAERT,2:10:31,Berlin (GER),27 SEP 2015
Mohamed ZIANI,2:11:15,Xiamen (CHN),05 JAN 2020
Mohamed ZIANI,2:09:29,Cape Town (RSA),15 SEP 2019
Mohamed ZIANI,2:10:44,Guangzhou (CHN),09 DEC 2018
Mohamed ZIANI,2:13:40,Guangzhou (CHN),10 DEC 2017
Michael KUNYUGA,2:06:43,Sevilla (ESP),23 FEB 2020
Michael KUNYUGA,2:10:05,Sydney (AUS),15 SEP 2019
Michael KUNYUGA,2:10:16,Hannover (GER),08 APR 2018
Michael KUNYUGA,2:10:43,Padova (ITA),23 APR 2017
Morris Munene GACHAGA,2:06:24,Amsterdam (NED),20 OCT 2019
Jonathan KORIR,2:06:45,Berlin (GER),29 SEP 2019
Jonathan KORIR,2:06:51,Amsterdam (NED),21 OCT 2018
Jonathan KORIR,2:17:40,Nairobi (KEN),26 NOV 2017
Deme Tadu ABATE,2:08:54,Dubai (UAE),24 JAN 2020
Deme Tadu ABATE,2:06:13,Amsterdam (NED),20 OCT 2019
Deme Tadu ABATE,2:06:47,Amsterdam (NED),21 OCT 2018
Guye Idemo ADOLA,2:04:42,Valencia (ESP),01 DEC 2019
Guye Idemo ADOLA,2:03:46,Berlin (GER),24 SEP 2017
Justus KIMUTAI,2:09:46,Taiyuan (CHN),08 SEP 2019
Justus KIMUTAI,2:10:00,Milano (ITA),08 APR 2018
Justus KIMUTAI,2:23:07,Singapore (SGP),03 DEC 2017
Justus KIMUTAI,2:13:42,Rabat (MAR),13 MAR 2016
Justus KIMUTAI,2:26:29,Singapore (SGP),06 DEC 2015
Justus KIMUTAI,2:12:40,Casablanca (MAR),26 OCT 2014
Solomon Kirwa YEGO,2:07:30,Praha (CZE),05 MAY 2019
Solomon Kirwa YEGO,2:06:24,Valencia (ESP),02 DEC 2018
Solomon Kirwa YEGO,2:07:12,Paris (FRA),09 APR 2017
Solomon Kirwa YEGO,2:08:31,Praha (CZE),08 MAY 2016
Bonsa DIDA,2:10:37,"Houston, TX (USA)",19 JAN 2020
Bonsa DIDA,2:09:04,Hengshui (CHN),29 SEP 2019
Bonsa DIDA,2:13:44,Hong Kong (HKG),21 JAN 2018
Bonsa DIDA,2:10:16,Madrid (ESP),23 APR 2017
Bonsa DIDA,2:12:33,Hamburg (GER),04 MAY 2014
Tsegaye KEBEDE,2:07:54,Valencia (ESP),01 DEC 2019
Tsegaye KEBEDE,2:05:21,Valencia (ESP),02 DEC 2018
Tsegaye KEBEDE,2:08:45,Tokyo (JPN),26 FEB 2017
Tsegaye KEBEDE,2:10:56,Rotterdam (NED),10 APR 2016
Tsegaye KEBEDE,2:07:58,Tokyo (JPN),22 FEB 2015
Tsegaye KEBEDE,2:06:30,London (GBR),13 APR 2014
Tsegaye KEBEDE,2:06:04,London (GBR),21 APR 2013
Tsegaye KEBEDE,2:04:38,"Chicago, IL (USA)",07 OCT 2012
Tsegaye KEBEDE,2:07:13,"New York, NY (USA)",06 NOV 2011
Tsegaye KEBEDE,2:05:19,London (GBR),25 APR 2010
Tsegaye KEBEDE,2:05:18,Fukuoka (JPN),06 DEC 2009
Tsegaye KEBEDE,2:06:10,Fukuoka (JPN),07 DEC 2008
Tsegaye KEBEDE,2:08:16,Amsterdam (NED),21 OCT 2007
Callum HAWKINS,2:08:14,London (GBR),28 APR 2019
Callum HAWKINS,2:10:17,"Olympic Stadium, London (GBR)",06 AUG 2017
Callum HAWKINS,2:10:52,London (GBR),24 APR 2016
