Name,Performance,Place,Date
Daniel ORTIZ PEREZ,2:16:50,"Chicago, IL (USA)",13 OCT 2019
Daniel ORTIZ PEREZ,2:26:54,Torreón (MEX),04 MAR 2018
Daniel ORTIZ PEREZ,2:27:13,Torreón (MEX),05 MAR 2017
Daniel ORTIZ PEREZ,2:28:14,"Houston, TX (USA)",17 JAN 2016
Daniel ORTIZ PEREZ,2:31:23,Torreón (MEX),01 MAR 2015
Daniel ORTIZ PEREZ,2:33:43,Torreón (MEX),03 MAR 2013
Daniel ORTIZ PEREZ,2:30:38,Torreón (MEX),07 MAR 2010
Matt HERZIG,8:30.22,"Hanover, NH (USA)",08 JAN 2017
Matt HERZIG,8:40.04,"Hanover, NH (USA)",16 JAN 2016
Matt HERZIG,8:45.34,"Boston, MA (USA)",14 FEB 2015
Matt HERZIG,8:37.72,"Boston, MA (USA)",08 FEB 2014
Tesfay FELFELE,2:13:51,Berlin (GER),29 SEP 2019
Tasama MOOGAS,2:13:40,Firenze (ITA),24 NOV 2019
Tasama MOOGAS,2:18:33,London (GBR),23 APR 2017
Tasama MOOGAS,2:30:30,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Tasama MOOGAS,2:15:29,Berlin (GER),27 SEP 2015
Anderson SEROI,2:13:47,Xiamen (CHN),05 JAN 2020
Travis MORRISON,14:23.94,"Winston Salem, NC (USA)",13 MAR 2015
Oier ARIZNABARRETA,2:17:43,Sevilla (ESP),23 FEB 2020
Oier ARIZNABARRETA,2:19:02,Sevilla (ESP),17 FEB 2019
Sohei MORIKAWA,2:16:21,Tokyo (JPN),01 MAR 2020
Sohei MORIKAWA,2:19:34,Tokyo (JPN),03 MAR 2019
Sohei MORIKAWA,2:14:53,Tokyo (JPN),25 FEB 2018
Daniel STUDLEY,3:47.91,Cardiff (GBR),23 JAN 2016
Nathan AYEKO,8:37.44,Kampala (UGA),20 JUL 2013
Nathan AYEKO,9:10.12,Kampala (UGA),02 JUN 2012
Nathan AYEKO,8:47.36,Kampala (UGA),23 JUL 2011
Francesco BONA,9:18.00,Milano (ITA),15 JUN 2002
Lindikhaya MHTANGAYI,2:18:02,Cape Town (RSA),16 FEB 2020
Lindikhaya MHTANGAYI,2:18:06,Cape Town (RSA),15 SEP 2019
Lindikhaya MHTANGAYI,2:21:17,Cape Town (RSA),23 SEP 2018
Lindikhaya MHTANGAYI,2:20:46,Durban (RSA),08 FEB 2009
Ben PAYNE,8:28.45,"University Park, PA (USA)",09 FEB 2002
Ben PAYNE,8:25.73,"University Park, PA (USA)",10 FEB 2001
Isaac Kemboi KIMAIYO,2:24:04,Mérida (MEX),05 JAN 2020
Isaac Kemboi KIMAIYO,2:19:31,Ciudad Juárez (MEX),20 OCT 2019
Isaac Kemboi KIMAIYO,2:19:30,Ciudad de México (MEX),28 AUG 2016
Isaac Kemboi KIMAIYO,2:13:56,Torreón (MEX),03 MAR 2013
Isaac Kemboi KIMAIYO,2:12:35,Torreón (MEX),04 MAR 2012
Isaac Kemboi KIMAIYO,2:14:23,Ciudad de México (MEX),28 AUG 2011
Isaac Kemboi KIMAIYO,2:13:58,Torreón (MEX),03 MAR 2008
Isaac Kemboi KIMAIYO,2:19:27,Ciudad de México (MEX),27 AUG 2006
Fetene ALEMU REGASA,2:18:59,Istanbul (TUR),03 NOV 2019
Jon PHILLIPS,9:05.39,"MSG, New York, NY (USA)",28 JAN 2011
Ryuta MATOBA,2:18:27,Beppu (JPN),03 FEB 2019
Ryuta MATOBA,2:15:00,Nobeoka (JPN),08 FEB 2015
Bijan MAZAHERI,8:14.02,"Boston, MA (USA)",27 FEB 2016
Bijan MAZAHERI,8:23.20,"Boston, MA (USA)",06 MAR 2015
Bijan MAZAHERI,8:33.53,"Boston, MA (USA)",24 JAN 2014
Bijan MAZAHERI,8:41.76,"Cambridge, MA (USA)",19 JAN 2013
Gantulga DAMBADARJAA,2:16:18,Seoul (KOR),17 MAR 2019
Gantulga DAMBADARJAA,2:17:19,Seoul (KOR),18 MAR 2018
Gantulga DAMBADARJAA,2:25:09,Chongqing (CHN),19 MAR 2017
Gantulga DAMBADARJAA,2:18:52,Xiamen (CHN),02 JAN 2016
Gantulga DAMBADARJAA,2:18:16,Beijing (CHN),20 SEP 2015
Gantulga DAMBADARJAA,2:20:54,Incheon (KOR),03 OCT 2014
Gantulga DAMBADARJAA,2:25:50,Chongqing (CHN),23 MAR 2013
Julius Kibet KOSKEI,2:18:38,Mérida (MEX),05 JAN 2020
Julius Kibet KOSKEI,2:24:31,Santiago de los Caballeros (DOM),24 NOV 2019
Julius Kibet KOSKEI,2:20:19,"Philadelphia, PA (USA)",20 NOV 2016
Julius Kibet KOSKEI,2:16:46,"Columbus, OH (USA)",18 OCT 2015
Julius Kibet KOSKEI,2:19:22,"Jacksonville, FL (USA)",16 FEB 2013
Julius Kibet KOSKEI,2:14:13,"Baltimore, MD (USA)",13 OCT 2012
Julius Kibet KOSKEI,2:13:38,St. Paul (USA),02 OCT 2011
Julius Kibet KOSKEI,2:10:14,Frankfurt (GER),26 OCT 2008
Dejene KELKILEW,2:19:09,Pyongyang (PRK),07 APR 2019
Dejene KELKILEW,2:16:52,Changsha (CHN),21 OCT 2018
Dejene KELKILEW,2:12:09,Cannes (FRA),05 NOV 2017
Dejene KELKILEW,2:19:38,Danzhou (CHN),18 DEC 2016
Dejene KELKILEW,2:11:21,Reims (FRA),19 OCT 2014
Will NORRIS,8:56.98,"Boulder, CO (USA)",03 FEB 2018
Will NORRIS,8:44.01,"Storm Lake, IA (USA)",23 JAN 2016
Will NORRIS,8:55.04,"Waverly, IA (USA)",24 JAN 2015
Benard CHEPKWONY,2:22:12,Libreville (GAB),01 DEC 2019
Benard CHEPKWONY,2:15:52,Athina (GRE),11 NOV 2018
Benard CHEPKWONY,2:10:42,Gongju (KOR),15 OCT 2017
Chiharu TAKADA,2:20:20,Otsu (JPN),10 MAR 2019
Chiharu TAKADA,2:15:47,Fukuoka (JPN),02 DEC 2018
Chiharu TAKADA,2:11:25,Gold Coast (AUS),02 JUL 2017
Chiharu TAKADA,2:10:43,Gold Coast (AUS),03 JUL 2016
Chiharu TAKADA,2:10:55,Fukuoka (JPN),06 DEC 2015
Chiharu TAKADA,2:10:03,Fukuoka (JPN),07 DEC 2014
Chiharu TAKADA,2:10:39,Fukuoka (JPN),01 DEC 2013
Chiharu TAKADA,2:16:25,Fukuoka (JPN),02 DEC 2012
Chiharu TAKADA,2:14:39,Sapporo (JPN),28 AUG 2011
Chiharu TAKADA,2:12:44,Fukuoka (JPN),05 DEC 2010
Chiharu TAKADA,2:14:34,Sapporo (JPN),30 AUG 2009
Mariano MASTROMARINO,8:48.11,Santiago de Chile (CHI),16 MAR 2014
Mariano MASTROMARINO,8:36.75,Buenos Aires (ARG),02 JUN 2012
Mariano MASTROMARINO,8:38.91,Buenos Aires (ARG),04 JUN 2011
Mariano MASTROMARINO,8:47.83,Buenos Aires (ARG),25 APR 2010
Mariano MASTROMARINO,8:51.48,Lima (PER),20 JUN 2009
Mariano MASTROMARINO,8:51.79,Montevideo (URU),11 APR 2008
Mariano MASTROMARINO,9:05.31,Buenos Aires (ARG),26 MAY 2007
Mariano MASTROMARINO,8:49.26,Rio de Janeiro (BRA),14 MAY 2006
Mariano MASTROMARINO,8:49.77,Santa Fé (ARG),03 JUL 2005
Mariano MASTROMARINO,8:47.17,"Estadio Iberoamericano, Huelva (ESP)",07 AUG 2004
Mariano MASTROMARINO,8:58.48,Santa Fé (ARG),01 JUN 2003
Mariano MASTROMARINO,9:16.85,Mar del Plata (ARG),28 APR 2002
Mariano MASTROMARINO,8:54.51,Santa Fé (ARG),12 OCT 2001
Mariano MASTROMARINO,9:25.72,"E.Nacional, Santiago de Chile (CHI)",18 OCT 2000
Connor RECK,14:59.21,"Cambridge, MA (USA)",18 FEB 2018
Tim YOUNG,8:35.85,"Lynchburg, VA (USA)",24 JAN 2009
Junichi USHIYAMA,2:18:28,Tokyo (JPN),01 MAR 2020
Junichi USHIYAMA,2:20:11,Nagano (JPN),21 APR 2019
Junichi USHIYAMA,2:26:22,Nagano (JPN),15 APR 2018
Junichi USHIYAMA,2:24:21,Fukuoka (JPN),04 DEC 2016
Junichi USHIYAMA,2:22:28,Fukuoka (JPN),06 DEC 2015
Junichi USHIYAMA,2:27:48,Tokyo (JPN),27 FEB 2011
Rory TUNNINGLEY,14:18.28,"College Station, TX (USA)",24 FEB 2012
Rory TUNNINGLEY,14:44.31,"College Station, TX (USA)",23 JAN 2010
Rory TUNNINGLEY,14:26.38,"New York, NY (USA)",07 FEB 2009
Ryo KINAME,2:17:19,Tokyo (JPN),03 MAR 2019
Ryo KINAME,2:08:08,Tokyo (JPN),25 FEB 2018
Ryo KINAME,2:10:30,Oita (JPN),05 FEB 2017
Ryo KINAME,2:13:16,Sapporo (JPN),28 AUG 2016
Ryo KINAME,2:12:46,Oita (JPN),02 FEB 2014
Tetsuya KIMURA,9:11.38,"Nagai Stadium, Osaka (JPN)",21 SEP 2019
Tetsuya KIMURA,9:03.20,Osaka (JPN),22 SEP 2018
Tetsuya KIMURA,9:04.29,Kobe (JPN),23 APR 2017
Tetsuya KIMURA,8:50.07,Osaka (JPN),24 SEP 2016
Tetsuya KIMURA,8:50.92,Gifu (JPN),26 SEP 2015
Tetsuya KIMURA,8:58.22,Tokyo (JPN),12 SEP 2010
Eliud N'GETICH,4:17.61,"Daytona Beach, FL (USA)",18 FEB 2012
Mark LEINENGER,14:26.77,"Boston, MA (USA)",24 FEB 2019
Mark LEINENGER,14:20.24,"Boston, MA (USA)",25 FEB 2018
Mark LEINENGER,14:27.89,"Clemson, SC (USA)",10 FEB 2017
Mark LEINENGER,14:21.79,"New York, NY (USA)",01 FEB 2013
Mark LEINENGER,14:47.15,"New York, NY (USA)",04 FEB 2012
Mark LEINENGER,14:55.58,"Annapolis, MD (USA)",19 FEB 2011
Tachlowini GABRIYESOS,2:14:56,Tiberias (ISR),03 JAN 2020
Kum Dang PAK,2:17:04,"Five Rings Sports Center, Wuhan (CHN)",27 OCT 2019
Kum Dang PAK,2:18:49,Pyongyang (PRK),08 APR 2018
Kum Dang PAK,2:23:12,Pyongyang (PRK),09 APR 2017
Ndiwa SAKONG,2:18:08,Split (CRO),23 FEB 2020
Ndiwa SAKONG,2:19:18,Beograd (SRB),17 NOV 2019
Craig LEON,14:50.17,"Findlay, OH (USA)",30 JAN 2010
Craig LEON,14:30.67,"State College, PA (USA)",25 JAN 2008
Craig LEON,14:36.70,"University Park, PA (USA)",27 JAN 2007
Ronald SCHROER,2:16:00,Düsseldorf (GER),28 APR 2019
Ronald SCHROER,2:21:53,Amsterdam (NED),21 OCT 2018
Ronald SCHROER,2:17:53,Amsterdam (NED),18 OCT 2015
Ronald SCHROER,2:24:51,"Letzigrund, Zürich (SUI)",17 AUG 2014
Ronald SCHROER,2:16:28,Amsterdam (NED),20 OCT 2013
Ronald SCHROER,2:16:19,Amsterdam (NED),21 OCT 2012
Ronald SCHROER,2:20:55,Amsterdam (NED),16 OCT 2011
Ronald SCHROER,2:16:27,Rotterdam (NED),11 APR 2010
Ronald SCHROER,2:18:14,Amsterdam (NED),18 OCT 2009
Ronald SCHROER,2:24:22,"Chicago, IL (USA)",12 OCT 2008
Ronald SCHROER,2:19:32,Amsterdam (NED),21 OCT 2007
Péter JENKEI,2:17:42,Hamburg (GER),28 APR 2019
Péter JENKEI,2:21:17,Budapest (HUN),07 OCT 2018
Péter JENKEI,2:20:31,Hamburg (GER),23 APR 2017
Péter JENKEI,2:23:07,Hamburg (GER),17 APR 2016
Péter JENKEI,2:25:53,Budapest (HUN),11 OCT 2015
Nate GUTHALS,7:42.71,"Blacksburg, VA (USA)",20 JAN 2012
Evan LANDES,2:19:08,"Atlanta, GA (USA)",29 FEB 2020
Evan LANDES,2:17:11,"Duluth, MN (USA)",22 JUN 2019
Evan LANDES,2:21:32,"Chicago, IL (USA)",07 OCT 2018
John MUIRIRI,2:19:29,Jakarta (INA),27 OCT 2019
John MUIRIRI,2:20:22,Kuching (MAS),12 AUG 2018
Renxue ZHU,2:19:21,Xiamen (CHN),05 JAN 2020
Renxue ZHU,2:18:23,Hengshui (CHN),29 SEP 2019
Renxue ZHU,2:23:21,Dongguan (CHN),26 NOV 2017
Renxue ZHU,2:18:17,Chongqing (CHN),20 MAR 2016
Renxue ZHU,2:21:27,Chongqing (CHN),22 MAR 2015
Renxue ZHU,2:21:00,Chongqing (CHN),18 MAR 2012
Bugatha SRINU,2:18:44,Mumbai (IND),19 JAN 2020
Bugatha SRINU,2:23:56,Mumbai (IND),21 JAN 2018
Tomohiro TANIGAWA,2:18:56,Tokyo (JPN),15 SEP 2019
Tomohiro TANIGAWA,2:12:02,Sapporo (JPN),26 AUG 2018
Tomohiro TANIGAWA,2:12:13,Sydney (AUS),18 SEP 2016
Tomohiro TANIGAWA,2:11:39,Nagano (JPN),19 APR 2015
Tomohiro KAIJO,2:23:09,Tokyo (JPN),01 MAR 2020
Tomohiro KAIJO,2:16:32,Fukuoka (JPN),01 DEC 2019
Tomohiro KAIJO,2:21:27,Fukuoka (JPN),02 DEC 2018
Tomohiro KAIJO,2:31:18,Fukuoka (JPN),03 DEC 2017
Rabson CHIGARA,2:17:59,Cape Town (RSA),15 SEP 2019
Rabson CHIGARA,2:20:10,Mossel Bay (RSA),28 SEP 2013
Rabson CHIGARA,2:21:54,Cape Town (RSA),19 FEB 2006
James WILSON,14:37.74,"Fayetteville, AR (USA)",10 FEB 2012
Reed FISCHER,8:20.59,"Cedar Falls, IA (USA)",26 FEB 2017
Reed FISCHER,8:13.83,"Lincoln, NE (USA)",06 FEB 2016
Reed FISCHER,8:32.22,"Lincoln, NE (USA)",07 FEB 2015
Reed FISCHER,8:43.72,"Iowa City, IA (USA)",21 FEB 2014
Geoffrey RONOH,2:22:38,Changsha (CHN),27 OCT 2019
Geoffrey RONOH,2:11:20,Tokyo (JPN),26 FEB 2017
Geoffrey RONOH,2:09:29,Berlin (GER),25 SEP 2016
Geoffrey RONOH,2:10:09,Valencia (ESP),15 NOV 2015
Geoffrey RONOH,2:15:51,Ahmedabad (IND),06 JAN 2013
Takaki MORI,2:18:39,Matsuyama (JPN),09 FEB 2020
Takaki MORI,2:17:58,Fukuoka (JPN),01 DEC 2019
Takaki MORI,2:21:18,Tokyo (JPN),25 FEB 2018
Takaki MORI,2:20:44,Otsu (JPN),05 MAR 2017
Takaki MORI,2:21:40,Fukuoka (JPN),04 DEC 2016
Takaki MORI,2:23:31,Otsu (JPN),01 MAR 2015
Takaki MORI,2:19:23,Tokyo (JPN),23 FEB 2014
Takaki MORI,2:18:17,Fukuoka (JPN),01 DEC 2013
Takaki MORI,2:20:31,Otsu (JPN),04 MAR 2012
Takaki MORI,2:28:02,Sydney (AUS),18 SEP 2011
Tatuya MARUYAMA,2:23:58,Tokyo (JPN),01 MAR 2020
Xiangdong WU,2:17:50,Xiamen (CHN),05 JAN 2020
Xiangdong WU,2:20:41,Hengshui (CHN),29 SEP 2019
Xiangdong WU,2:22:54,Tianjin (CHN),29 APR 2017
Kamil KARBOWIAK,2:17:17,Poznan (POL),20 OCT 2019
Jeison Alexander SUAREZ,2:14:48,Düsseldorf (GER),28 APR 2019
Jeison Alexander SUAREZ,2:18:13,Rotterdam (NED),08 APR 2018
Julius KIPNGETICH,2:19:12,Sofia (BUL),13 OCT 2019
Julius KIPNGETICH,2:18:50,Torino (ITA),04 NOV 2018
Chris BENDTSEN,7:57.44,"Boston, MA (USA)",08 FEB 2014
Chris BENDTSEN,8:07.01,"Cambridge, MA (USA)",23 FEB 2013
Chris BENDTSEN,8:12.28,"New York, NY (USA)",14 JAN 2012
Chris BENDTSEN,8:09.25,"New York, NY (USA)",26 FEB 2011
Ezekiel KIPCHUMBA,2:18:16,Gyeongju (KOR),20 OCT 2019
Jānis VIŠĶERS,5:31.66,Tallinn (EST),11 FEB 2015
Jack POLERECKY,2:18:25,"Indianapolis, IN (USA)",09 NOV 2019
Yusuf ALICI,8:20.41,Istanbul (TUR),21 FEB 2016
Yusuf ALICI,8:46.41,Istanbul (TUR),18 JAN 2015
Yusuf ALICI,8:21.88,Istanbul (TUR),16 FEB 2014
Gáspár CSERE,2:24:06,Sevilla (ESP),23 FEB 2020
Gáspár CSERE,2:19:40,Amsterdam (NED),20 OCT 2019
Gáspár CSERE,2:19:21,"Olympiastadion, Berlin (GER)",12 AUG 2018
Gáspár CSERE,2:16:03,Berlin (GER),24 SEP 2017
Gáspár CSERE,2:28:03,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Gáspár CSERE,2:16:30,Berlin (GER),27 SEP 2015
Gáspár CSERE,2:22:34,Frankfurt (GER),26 OCT 2014
Nathan MARTIN,8:27.93,"Hillsdale, MI (USA)",07 FEB 2015
Nathan MARTIN,8:17.16,"Marion, IN (USA)",16 FEB 2013
Charles KIGEN,2:18:49,Kaoshiung (TPE),17 FEB 2019
Charles KIGEN,2:17:40,Kaoshiung (TPE),25 FEB 2018
Charles KIGEN,2:16:21,Kaohsiung (TPE),21 FEB 2016
Charles KIGEN,2:19:50,Kaohsiung (TPE),08 MAR 2015
Charles KIGEN,2:17:09,Khon Kaen (THA),26 JAN 2014
Charles KIGEN,2:16:49,Wuzhong (CHN),08 SEP 2013
Charles KIGEN,2:14:59,Yingkou (CHN),22 SEP 2012
Charles KIGEN,2:21:57,Georgetown (MAS),20 NOV 2011
Steven MARTINEZ,2:18:00,"Houston, TX (USA)",19 JAN 2020
Patrick CAMPBELL,8:16.96,"Bloomington, IN (USA)",20 JAN 2017
Patrick CAMPBELL,8:24.02,"Cedar Falls, IA (USA)",28 FEB 2016
Patrick CAMPBELL,8:31.30,"Champaign, IL (USA)",21 FEB 2015
Patrick CAMPBELL,8:41.08,"Iowa City, IA (USA)",21 FEB 2014
Ayumu HISAIBARU,2:17:16,Beppu (JPN),03 FEB 2019
Ben ST. LAWRENCE,9:04.60,Canberra (AUS),27 JAN 2007
Ben ST. LAWRENCE,9:24.53,Sydney (AUS),03 FEB 2002
Ben ST. LAWRENCE,9:14.07,Brisbane (AUS),04 AUG 2000
Marius IONESCU,8:14.32,Bucuresti (ROU),16 FEB 2008
Marius IONESCU,8:06.02,"NIA, Birmingham (GBR)",02 MAR 2007
Marius IONESCU,8:14.60,Bucuresti (ROU),19 FEB 2006
Julien DEVANNE,4:20.90,"Boston, MA (USA)",29 JAN 2011
Julien DEVANNE,4:21.62,"Kingston, RI (USA)",23 JAN 2010
Jens NERKAMP,2:14:54,Berlin (GER),29 SEP 2019
Jens NERKAMP,2:17:18,Düsseldorf (GER),29 APR 2018
Ciwang DANMUZHEN,2:17:45,Xuzhou (CHN),24 MAR 2019
Ciwang DANMUZHEN,2:21:20,Hengshui (CHN),29 SEP 2018
Kaleab SELOMON,2:19:05,Gyeongju (KOR),20 OCT 2019
Kaleab SELOMON,2:18:06,Xichang (CHN),03 NOV 2018
Kaleab SELOMON,2:12:03,Osaka (JPN),26 NOV 2017
Kaleab SELOMON,2:12:22,Riga (LAT),15 MAY 2016
Kaleab SELOMON,2:14:22,Dubai (UAE),23 JAN 2015
Satoru KASUYA,2:14:44,Hofu (JPN),15 DEC 2019
Satoru KASUYA,2:14:37,Tokyo (JPN),25 FEB 2018
Satoru KASUYA,2:19:50,Osaka (JPN),26 NOV 2017
Satoru KASUYA,2:20:38,Tokyo (JPN),28 FEB 2016
Satoru KASUYA,2:16:47,Otsu (JPN),03 MAR 2013
Satoru KASUYA,2:11:17,Otsu (JPN),06 MAR 2011
Satoru KASUYA,2:22:25,Tokyo (JPN),28 FEB 2010
Satoru KASUYA,2:17:10,Hofu (JPN),21 DEC 2008
Jon AZIZ,4:19.45,"Ithaca, NY (USA)",19 JAN 2013
Jon AZIZ,4:27.96,"Ithaca, NY (USA)",22 JAN 2011
Hiroki KAI,2:18:11,Otsu (JPN),08 MAR 2020
Hiroki KAI,2:18:55,Fukuoka (JPN),01 DEC 2019
Hiroki KAI,2:19:05,Tokyo (JPN),25 FEB 2018
Hiroki KAI,2:18:17,Tokyo (JPN),26 FEB 2017
Tetsuya YOROIZAKA,2:24:40,Melbourne (AUS),14 OCT 2018
Bernard MWENDIA MUTHONI,2:18:29,Jakarta (INA),27 OCT 2019
Bernard MWENDIA MUTHONI,2:17:46,Kaoshiung (TPE),25 FEB 2018
Bernard MWENDIA MUTHONI,2:25:53,Khon Kaen (THA),29 JAN 2017
Bernard MWENDIA MUTHONI,2:27:45,Georgetown (MAS),28 NOV 2016
Shunsuke HISAMOTO,6:41:20,Lake Saroma (JPN),24 JUN 2018
Ruslan KHOROSHILOV,8:15.86,Moskva (RUS),17 FEB 2015
Ruslan KHOROSHILOV,8:26.53,Moskva (RUS),17 FEB 2014
Ruslan KHOROSHILOV,8:26.88,Belgorod (RUS),24 JAN 2013
Ruslan KHOROSHILOV,8:43.37,Volgograd (RUS),22 FEB 2011
Alex TAYLOR,2:25:19,"Atlanta, GA (USA)",29 FEB 2020
Alex TAYLOR,2:17:08,"Duluth, MN (USA)",22 JUN 2019
Alex TAYLOR,2:20:58,"Duluth, MN (USA)",16 JUN 2018
Alex TAYLOR,2:21:51,"Philadelphia, PA (USA)",23 NOV 2014
Alex TAYLOR,2:25:19,Berlin (GER),26 SEP 2010
Alex TAYLOR,2:28:47,"Chicago, IL (USA)",11 OCT 2009
Brett LUSTGARTEN,2:28:21,"Atlanta, GA (USA)",29 FEB 2020
Brett LUSTGARTEN,2:19:00,"Chicago, IL (USA)",13 OCT 2019
Brett LUSTGARTEN,2:18:59,"Chicago, IL (USA)",07 OCT 2018
Brett LUSTGARTEN,2:29:06,"Houston, TX (USA)",15 JAN 2017
Brett LUSTGARTEN,2:29:21,"Chicago, IL (USA)",09 OCT 2016
Brett LUSTGARTEN,2:34:16,"Chicago, IL (USA)",11 OCT 2015
Brett LUSTGARTEN,2:30:51,"Urbana, IL (USA)",26 APR 2014
Kazuya AZEKAMI,2:13:46,Nobeoka (JPN),09 FEB 2020
Kazuya AZEKAMI,2:23:34,Tokyo (JPN),03 MAR 2019
Berhanu DEGEFA,2:14:50,Daegu (KOR),07 APR 2019
Berhanu DEGEFA,2:29:53,Ottawa (CAN),29 MAY 2016
Berhanu DEGEFA,2:25:06,Toronto (CAN),20 OCT 2013
Dominic SHAW,2:18:36,Frankfurt (GER),27 OCT 2019
Konstantinos GELAOUZOS,8:24.01,Beograd (SRB),25 FEB 2017
Konstantinos GELAOUZOS,8:21.38,"Pireaus, Athina (GRE)",14 FEB 2016
Konstantinos GELAOUZOS,8:27.30,"Pireaus, Athina (GRE)",15 FEB 2015
Konstantinos GELAOUZOS,8:18.34,"Pireaus, Athina (GRE)",09 FEB 2014
Konstantinos GELAOUZOS,8:18.69,"Pireaus, Athina (GRE)",17 FEB 2013
Konstantinos GELAOUZOS,8:36.84,Peania (GRE),20 FEB 2011
Abdelali RAZYN,2:21:00,Eindhoven (NED),14 OCT 2018
Takuya SAITO,2:16:10,Tokyo (JPN),01 MAR 2020
Takuya SAITO,2:21:07,Fukuoka (JPN),01 DEC 2019
Takuya SAITO,2:20:47,Otsu (JPN),04 MAR 2018
Takuya SAITO,2:27:36,Kobe (JPN),19 NOV 2017
Takuya SAITO,2:21:37,Tokyo (JPN),28 FEB 2016
Hyung guk DO,2:18:26,Gunsan (KOR),14 APR 2019
Hyung guk DO,2:24:26,Gunsan (KOR),08 APR 2018
Elijah RUGUT,2:15:05,"Columbus, OH (USA)",20 OCT 2019
Elijah RUGUT,2:22:46,"Columbus, OH (USA)",21 OCT 2018
Elijah RUGUT,2:21:04,Nairobi (KEN),30 OCT 2016
Emil DOBROWOLSKI,2:17:06,Poznan (POL),20 OCT 2019
Emil DOBROWOLSKI,2:20:18,Warszawa (POL),22 APR 2018
Emil DOBROWOLSKI,2:22:48,Poznan (POL),15 OCT 2017
Emil DOBROWOLSKI,2:18:32,Warszawa (POL),24 APR 2016
Emil DOBROWOLSKI,2:13:50,Poznan (POL),11 OCT 2015
Emil DOBROWOLSKI,2:14:39,Warszawa (POL),13 APR 2014
Emil DOBROWOLSKI,2:15:55,Debno (POL),07 APR 2013
Emil DOBROWOLSKI,2:19:54,Debno (POL),15 APR 2012
Emil DOBROWOLSKI,2:18:07,Poznan (POL),16 OCT 2011
Emil DOBROWOLSKI,2:20:43,Debno (POL),24 OCT 2010
Wenguo FU,2:18:57,Xiamen (CHN),05 JAN 2020
Wenguo FU,2:19:29,Beijing (CHN),03 NOV 2019
Wenguo FU,2:20:18,Hengshui (CHN),29 SEP 2018
Wenguo FU,2:27:53,Tianjin (CHN),29 APR 2017
Wenguo FU,2:24:36,Chongqing (CHN),22 MAR 2015
Takeshi OKADA,8:49.35,"Palo Alto, CA (USA)",29 MAR 2019
Takeshi OKADA,8:53.80,"Palo Alto, CA (USA)",12 MAY 2018
Takeshi OKADA,8:53.35,"Palo Alto, CA (USA)",22 APR 2017
Matthias EYMARD,9:32.50,Aix-en-Provence (FRA),19 MAY 2019
Matthias EYMARD,9:08.90,Vannes (FRA),23 JUN 2018
Matthias EYMARD,8:56.7h,Argentan (FRA),05 JUN 2016
Matthias EYMARD,9:22.97,Aubagne (FRA),24 MAY 2015
Matthias EYMARD,9:14.68,Marseille (FRA),31 MAY 2014
Matthias EYMARD,9:14.73,Aix-en-Provence (FRA),05 MAY 2013
Matthias EYMARD,9:28.00,Antony (FRA),20 MAY 2012
Matthias EYMARD,9:30.26,Dreux (FRA),15 JUL 2011
Taher BELKORCHI,3:48.61,Dortmund (GER),01 FEB 2015
Giovani DOS SANTOS,2:18:48,Rio de Janeiro (BRA),23 JUN 2019
Giovani DOS SANTOS,2:14:41,Milano (ITA),03 APR 2016
Jean Baptiste SIMUKEKA,2:25:29,Firenze (ITA),24 NOV 2019
Jean Baptiste SIMUKEKA,2:18:09,Sofia (BUL),14 OCT 2018
Jean Baptiste SIMUKEKA,2:17:14,Reggio Emilia (ITA),13 DEC 2015
Jean Baptiste SIMUKEKA,2:19:39,Venezia (ITA),26 OCT 2014
Thomas DO CANTO,2:18:46,Fukuoka (JPN),01 DEC 2019
Thomas DO CANTO,2:14:59,Fukuoka (JPN),03 DEC 2017
Thomas DO CANTO,2:20:53,Melbourne (AUS),16 OCT 2016
Christopher KIPYEGO,2:17:06,"Duluth, MN (USA)",22 JUN 2019
Christopher KIPYEGO,2:18:41,"Waco, TX (USA)",06 MAY 2018
Christopher KIPYEGO,2:15:14,"Duluth, MN (USA)",17 JUN 2017
Christopher KIPYEGO,2:21:49,Ciudad de México (MEX),28 AUG 2016
Christopher KIPYEGO,2:23:47,Guadalajara (MEX),18 OCT 2015
Christopher KIPYEGO,2:20:32,"Jacksonville, FL (USA)",23 FEB 2014
Christopher KIPYEGO,2:16:23,"Jacksonville, FL (USA)",16 FEB 2013
Christopher KIPYEGO,2:14:53,St. Paul (USA),07 OCT 2012
Christopher KIPYEGO,2:23:47,Asunción (PAR),07 AUG 2011
Christopher KIPYEGO,2:12:56,"Tempe, AZ (USA)",17 JAN 2010
Christopher KIPYEGO,2:15:50,Culiacán (MEX),18 JAN 2009
Christopher KIPYEGO,2:16:03,Torreón (MEX),03 MAR 2008
Christopher KIPYEGO,2:15:48,Monterrey (MEX),16 DEC 2007
Christopher KIPYEGO,2:14:43,Monterrey (MEX),09 DEC 2006
Ilya TYAPKIN,9:41.09,Bishkek (KGZ),13 JUL 2019
Ryan MILLER,15:40.75,"Clemson, SC (USA)",07 JAN 2017
Ryan MILLER,14:47.32,"College Station, TX (USA)",12 DEC 2015
Ryan MILLER,14:39.40,"Fayetteville, AR (USA)",14 FEB 2015
Ryan MILLER,14:30.51,"College Station, TX (USA)",01 MAR 2014
