athlete,year,performance,place,date
Madina Ulfatovna Biktagirova,2000,2:26:33,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
Madina Ulfatovna Biktagirova,1998,2:27:19,Nagoya (JPN),08 MAR 1998
Madina Ulfatovna Biktagirova,1997,2:24:46,Berlin (GER),28 SEP 1997
Madina Ulfatovna Biktagirova,1993,2:31:32,Tokyo (JPN),21 NOV 1993
Madina Ulfatovna Biktagirova,1992,2:26:23,"Los Angeles, CA (USA)",01 MAR 1992
Madina Ulfatovna Biktagirova,1991,2:32:02,Belaya Tserkov (URS),21 APR 1991
Madina Ulfatovna Biktagirova,1990,2:36:02,Kaliningrad (URS),22 APR 1990
Madina Ulfatovna Biktagirova,1989,2:38:56,Birmingham (GBR),24 SEP 1989
Irina Nikolayevna Timofeyeva (Grigoryeva-),2009,2:30:07,Nagano (JPN),19 APR 2009
Irina Nikolayevna Timofeyeva (Grigoryeva-),2008,2:24:14,Hamburg (GER),27 APR 2008
Irina Nikolayevna Timofeyeva (Grigoryeva-),2007,2:26:54,Berlin (GER),30 SEP 2007
Irina Nikolayevna Timofeyeva (Grigoryeva-),2006,2:27:22,Paris (FRA),09 APR 2006
Irina Nikolayevna Timofeyeva (Grigoryeva-),2005,2:30:11,Paris (FRA),10 APR 2005
Irina Nikolayevna Timofeyeva (Grigoryeva-),2004,2:38:02,Praha (CZE),23 MAY 2004
Irina Nikolayevna Timofeyeva (Grigoryeva-),2003,2:38:06,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
Irina Nikolayevna Timofeyeva (Grigoryeva-),2002,2:26:45,Tokyo (JPN),17 NOV 2002
Irina Nikolayevna Timofeyeva (Grigoryeva-),2001,2:25:29,Tokyo (JPN),18 NOV 2001
Irina Nikolayevna Timofeyeva (Grigoryeva-),2000,2:29:13,"Chicago, IL (USA)",22 OCT 2000
Irina Nikolayevna Timofeyeva (Grigoryeva-),1999,2:27:46,Paris (FRA),04 APR 1999
Irina Nikolayevna Timofeyeva (Grigoryeva-),1998,2:34:44,"Népstadion, Budapest (HUN)",23 AUG 1998
Irina Nikolayevna Timofeyeva (Grigoryeva-),1997,2:36:53,"Hartford, CT (USA)",18 OCT 1997
Lyubov Vasilyevna Morgunova,2011,2:30:27,Moskva (RUS),14 MAY 2011
Lyubov Vasilyevna Morgunova,2010,2:33:17,Praha (CZE),09 MAY 2010
Lyubov Vasilyevna Morgunova,2009,2:29:42,"Los Angeles, CA (USA)",25 MAY 2009
Lyubov Vasilyevna Morgunova,2008,2:25:12,Rotterdam (NED),13 APR 2008
Lyubov Vasilyevna Morgunova,2007,2:29:34,Nagano (JPN),15 APR 2007
Lyubov Vasilyevna Morgunova,2005,2:40:47,"Honolulu, HI (USA)",11 DEC 2005
Lyubov Vasilyevna Morgunova,2004,2:27:33,"Honolulu, HI (USA)",13 DEC 2004
Lyubov Vasilyevna Morgunova,2003,2:36:20,Toronto (CAN),28 SEP 2003
Lyubov Vasilyevna Morgunova,2001,2:28:54,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001
Lyubov Vasilyevna Morgunova,2000,2:26:33,London (GBR),16 APR 2000
Lyubov Vasilyevna Morgunova,1999,2:27:43,Nagoya (JPN),14 MAR 1999
Lyubov Vasilyevna Morgunova,1998,2:28:51,Beijing (CHN),10 OCT 1998
Lyubov Vasilyevna Morgunova,1997,2:30:43,St. Paul (USA),05 OCT 1997
Lyubov Vasilyevna Morgunova,1996,2:37:30,Cesano Boscone (ITA),20 OCT 1996
Lyudmila Nikolayevna Petrova (Yakimova-),2010,2:29:41,"New York, NY (USA)",07 NOV 2010
Lyudmila Nikolayevna Petrova (Yakimova-),2009,2:27:42,London (GBR),26 APR 2009
Lyudmila Nikolayevna Petrova (Yakimova-),2008,2:26:45,London (GBR),13 APR 2008
Lyudmila Nikolayevna Petrova (Yakimova-),2006,2:21:29,London (GBR),23 APR 2006
Lyudmila Nikolayevna Petrova (Yakimova-),2005,2:26:29,London (GBR),17 APR 2005
Lyudmila Nikolayevna Petrova (Yakimova-),2004,2:26:02,London (GBR),18 APR 2004
Lyudmila Nikolayevna Petrova (Yakimova-),2003,2:23:14,London (GBR),13 APR 2003
Lyudmila Nikolayevna Petrova (Yakimova-),2002,2:22:33,London (GBR),14 APR 2002
Lyudmila Nikolayevna Petrova (Yakimova-),1999,2:38:12,"Chicago, IL (USA)",24 OCT 1999
Lyudmila Nikolayevna Petrova (Yakimova-),1998,2:30:26,"Népstadion, Budapest (HUN)",23 AUG 1998
Lyudmila Nikolayevna Petrova (Yakimova-),1997,2:39:26,Istanbul (TUR),12 OCT 1997
Lyudmila Nikolayevna Petrova (Yakimova-),1988,2:37:37,Ufa (URS),10 SEP 1988
Claudette Mukasakindi,2019,2:46:23,"Five Rings Sports Center, Wuhan (CHN)",27 OCT 2019
Claudette Mukasakindi,2016,3:05:57,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Claudette Mukasakindi,2015,2:41:33,Firenze (ITA),29 NOV 2015
Claudette Mukasakindi,2012,2:40:18,Cagliari (ITA),06 MAY 2012
Marcianne Mukamurenzi,1988,2:36:53,Paris (FRA),15 MAY 1988
Marcianne Mukamurenzi,1987,2:49:38,"Stadio Olimpico, Roma (ITA)",29 AUG 1987
Sarah Amer Attar,2018,3:07:16,"Chicago, IL (USA)",07 OCT 2018
Sarah Amer Attar,2016,3:16:11,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Tanith Gaelene Maxwell,2018,2:49:49,Cape Town (RSA),23 SEP 2018
Tanith Gaelene Maxwell,2016,2:45:26,Cape Town (RSA),18 SEP 2016
Tanith Gaelene Maxwell,2015,2:39:43,Las Palmas (ESP),25 JAN 2015
Tanith Gaelene Maxwell,2014,2:43:34,Brighton (GBR),06 APR 2014
Tanith Gaelene Maxwell,2013,2:56:37,"Luzhniki, Moskva (RUS)",10 AUG 2013
Tanith Gaelene Maxwell,2012,2:36:47,Rotterdam (NED),15 APR 2012
Tanith Gaelene Maxwell,2011,2:39:07,London (GBR),17 APR 2011
Tanith Gaelene Maxwell,2010,2:32:33,Berlin (GER),26 SEP 2010
Tanith Gaelene Maxwell,2009,2:41:48,"Olympiastadion, Berlin (GER)",23 AUG 2009
Tanith Gaelene Maxwell,2008,2:37:35,Roma (ITA),16 MAR 2008
Tanith Gaelene Maxwell,2007,2:40:46,Port Elizabeth (RSA),10 FEB 2007
Tanith Gaelene Maxwell,2006,2:41:47,Melbourne (AUS),19 MAR 2006
Tanith Gaelene Maxwell,2005,2:41:03,Frankfurt (GER),30 OCT 2005
Tanith Gaelene Maxwell,2004,2:48:28,Cape Town (RSA),12 SEP 2004
Christine Kalmer,2019,2:40:51,Nagoya (JPN),10 MAR 2019
Christine Kalmer,2018,2:42:11,Cape Town (RSA),23 SEP 2018
Christine Kalmer,2016,2:48:24,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Christine Kalmer,2015,2:33:43,Valencia (ESP),15 NOV 2015
Dina Lebo Phalula,2019,2:50:04,Cape Town (RSA),15 SEP 2019
Dina Lebo Phalula,2016,2:33:48,Enschede (NED),17 APR 2016
Dina Lebo Phalula,2015,2:38:55,Cape Town (RSA),20 SEP 2015
Lee Mi-Ok,1992,2:36:44,Chuncheon (KOR),22 MAR 1992
Lee Mi-Ok,1991,2:41:43,Seoul (KOR),17 MAR 1991
Lee Mi-Ok,1990,2:36:31,Beijing (CHN),30 SEP 1990
Lee Mi-Ok,1988,2:32:51,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
Ana Isabel Alonso Nieto,2010,3:09:53,San Sebastián (ESP),28 NOV 2010
Ana Isabel Alonso Nieto,2000,2:30:21,Rotterdam (NED),16 APR 2000
Ana Isabel Alonso Nieto,1999,2:29:54,Rotterdam (NED),18 APR 1999
Ana Isabel Alonso Nieto,1998,2:30:05,Barcelona (ESP),15 MAR 1998
Ana Isabel Alonso Nieto,1997,2:30:06,Barcelona (ESP),16 MAR 1997
Ana Isabel Alonso Nieto,1996,2:44:12,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
Ana Isabel Alonso Nieto,1995,2:26:51,San Sebastián (ESP),15 OCT 1995
Ana Isabel Alonso Nieto,1994,2:33:18,Sevilla (ESP),27 FEB 1994
Ana Isabel Alonso Nieto,1993,2:42:53,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993
Ana Isabel Alonso Nieto,1992,2:35:34,San Sebastián (ESP),11 OCT 1992
Mara Elena Espeso Gayte,2014,2:35:48,Sevilla (ESP),23 FEB 2014
Mara Elena Espeso Gayte,2012,2:30:52,Barcelona (ESP),25 MAR 2012
Mara Elena Espeso Gayte,2011,2:36:46,Hamburg (GER),22 MAY 2011
Alessandra Aguilar Morn,2017,2:34:42,Nagoya (JPN),12 MAR 2017
Alessandra Aguilar Morn,2015,2:29:45,London (GBR),26 APR 2015
Alessandra Aguilar Morn,2013,2:27:03,Rotterdam (NED),14 APR 2013
Alessandra Aguilar Morn,2012,2:29:19,"Olympic Stadium, London (GBR)",05 AUG 2012
Alessandra Aguilar Morn,2011,2:27:00,Rotterdam (NED),10 APR 2011
Alessandra Aguilar Morn,2010,2:35:04,"Estadio Olímpico, Barcelona (ESP)",31 JUL 2010
Alessandra Aguilar Morn,2009,2:29:01,Hamburg (GER),26 APR 2009
Alessandra Aguilar Morn,2008,2:29:03,Rotterdam (NED),13 APR 2008
Yesenia Centeno Sousa,2011,2:38:25,Castellón (ESP),18 DEC 2011
Yesenia Centeno Sousa,2008,2:31:16,Hamburg (GER),27 APR 2008
Yesenia Centeno Sousa,2005,2:36:43,Rotterdam (NED),10 APR 2005
Yesenia Centeno Sousa,2004,2:56:47,Trieste (ITA),02 MAY 2004
Yesenia Centeno Sousa,2000,2:41:08,Madrid (ESP),30 APR 2000
Yesenia Centeno Sousa,1998,2:44:57,Madrid (ESP),26 APR 1998
Mara Dolores Pulido Fernndez,2009,2:43:59,Madrid (ESP),26 APR 2009
Mara Dolores Pulido Fernndez,2008,2:44:04,Zaragoza (ESP),28 SEP 2008
Mara Dolores Pulido Fernndez,2004,2:44:33,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Beatriz Ros Blanco,2011,2:33:11,Castellón (ESP),18 DEC 2011
Beatriz Ros Blanco,2010,2:32:28,Rotterdam (NED),11 APR 2010
Beatriz Ros Blanco,2004,2:30:43,Paris (FRA),04 APR 2004
Beatriz Ros Blanco,2003,2:29:25,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
Beatriz Ros Blanco,2002,2:34:57,Torino (ITA),21 APR 2002
Vanessa Veiga Comesaa,2013,2:35:57,Valencia (ESP),17 NOV 2013
Vanessa Veiga Comesaa,2012,2:46:53,"Olympic Stadium, London (GBR)",05 AUG 2012
Vanessa Veiga Comesaa,2011,2:32:57,Castellón (ESP),18 DEC 2011
Evy Gunilla Palm (Warnicke-),1989,2:31:05,London (GBR),23 APR 1989
Evy Gunilla Palm (Warnicke-),1988,2:31:35,London (GBR),17 APR 1988
Evy Gunilla Palm (Warnicke-),1987,2:35:14,Stockholm (SWE),30 MAY 1987
Evy Gunilla Palm (Warnicke-),1986,2:32:47,"Boston, MA (USA)",21 APR 1986
Evy Gunilla Palm (Warnicke-),1983,2:51:49,"Olympic Stadium, Helsinki (FIN)",07 AUG 1983
Isabellah Moraa Andersson (Amoro-),2018,2:34:52,Hamburg (GER),29 APR 2018
Isabellah Moraa Andersson (Amoro-),2016,2:30:02,Tokyo (JPN),28 FEB 2016
Isabellah Moraa Andersson (Amoro-),2015,2:34:14,Stockholm (SWE),30 MAY 2015
Isabellah Moraa Andersson (Amoro-),2014,2:32:28,Stockholm (SWE),31 MAY 2014
Isabellah Moraa Andersson (Amoro-),2013,2:26:05,Dubai (UAE),25 JAN 2013
Isabellah Moraa Andersson (Amoro-),2012,2:25:41,Dubai (UAE),27 JAN 2012
Isabellah Moraa Andersson (Amoro-),2011,2:23:41,Dubai (UAE),21 JAN 2011
Isabellah Moraa Andersson (Amoro-),2010,2:25:10,Frankfurt (GER),31 OCT 2010
Isabellah Moraa Andersson (Amoro-),2009,2:33:52,Stockholm (SWE),31 MAY 2009
Isabellah Moraa Andersson (Amoro-),2008,2:34:14,Stockholm (SWE),31 MAY 2008
Genoveva Eichenmann,1988,2:34:43,Zürich (SUI),24 APR 1988
Genoveva Eichenmann,1987,2:35:40,Seoul (KOR),11 APR 1987
Genoveva Eichenmann,1986,2:36:41,Zürich (SUI),13 APR 1986
Genoveva Eichenmann,1985,2:38:50,Tenero (SUI),10 NOV 1985
Maja Doris Neuenschwander,2019,2:46:24,Berlin (GER),29 SEP 2019
Maja Doris Neuenschwander,2016,2:27:36,Tokyo (JPN),28 FEB 2016
Maja Doris Neuenschwander,2015,2:26:49,Berlin (GER),27 SEP 2015
Maja Doris Neuenschwander,2014,2:31:08,"Letzigrund, Zürich (SUI)",16 AUG 2014
Maja Doris Neuenschwander,2013,2:29:42,Frankfurt (GER),27 OCT 2013
Maja Doris Neuenschwander,2012,2:31:56,Zürich (SUI),22 APR 2012
Maja Doris Neuenschwander,2011,2:33:45,Berlin (GER),25 SEP 2011
Maja Doris Neuenschwander,2010,2:45:17,"Estadio Olímpico, Barcelona (ESP)",31 JUL 2010
Maja Doris Neuenschwander,2009,2:35:44,Berlin (GER),20 SEP 2009
Maja Doris Neuenschwander,2008,2:38:53,Berlin (GER),28 SEP 2008
Maja Doris Neuenschwander,2007,2:40:01,Berlin (GER),30 SEP 2007
Maja Doris Neuenschwander,2006,2:44:24,Zürich (SUI),09 APR 2006
Daria Nauer (-Lyrenmann),2000,2:43:00,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
Daria Nauer (-Lyrenmann),1999,2:32:38,Berlin (GER),26 SEP 1999
Jane Vongvorachoti,2019,2:48:34,Sevilla (ESP),17 FEB 2019
Jane Vongvorachoti,2018,3:03:11,Jakarta (INA),26 AUG 2018
Jane Vongvorachoti,2016,2:42:09,"Houston, TX (USA)",17 JAN 2016
Jane Vongvorachoti,2015,2:46:47,Berlin (GER),27 SEP 2015
Jane Vongvorachoti,2014,2:40:40,"Chicago, IL (USA)",12 OCT 2014
Jane Vongvorachoti,2012,2:59:45,Ottawa (CAN),27 MAY 2012
Natthaya Thanaronnawat,2016,2:44:45,"Houston, TX (USA)",17 JAN 2016
Natthaya Thanaronnawat,2015,3:03:25,Singapore (SGP),07 JUN 2015
Natthaya Thanaronnawat,2012,3:07:14,Samui Island (THA),23 SEP 2012
Natthaya Thanaronnawat,2011,2:53:35,Pattaya (THA),17 JUL 2011
Aguida Fatima Amaral,2004,3:18:25,"Olympic Stadium, Athina (GRE)",22 AUG 2004
Aguida Fatima Amaral,2000,3:10:55,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
Amira Ben Amor,2015,2:45:40,Paris (FRA),12 APR 2015
Amira Ben Amor,2012,2:40:13,"Olympic Stadium, London (GBR)",05 AUG 2012
Amira Ben Amor,2011,2:42:15,Athina (GRE),13 NOV 2011
Sultan Haydar,2016,2:53:57,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Sultan Haydar,2015,2:24:44,Dubai (UAE),23 JAN 2015
Sultan Haydar,2014,2:27:54,Dubai (UAE),24 JAN 2014
Sultan Haydar,2013,2:27:10,Roma (ITA),17 MAR 2013
Sultan Haydar,2012,2:25:09,Paris (FRA),15 APR 2012
Sultan Haydar,2011,2:35:06,Istanbul (TUR),16 OCT 2011
Esma Aydemir,2017,2:44:57,Istanbul (TUR),12 NOV 2017
Esma Aydemir,2016,2:35:22,Rotterdam (NED),10 APR 2016
Tracey Anne Morris (Jones-),2007,2:36:40,"Nagai Stadium, Osaka (JPN)",02 SEP 2007
Tracey Anne Morris (Jones-),2006,2:33:13,Melbourne (AUS),19 MAR 2006
Tracey Anne Morris (Jones-),2004,2:33:52,London (GBR),18 APR 2004
Mara Rosalind Yamauchi (Myers-),2011,2:27:24,Yokohama (JPN),20 NOV 2011
Mara Rosalind Yamauchi (Myers-),2010,2:26:16,London (GBR),25 APR 2010
Mara Rosalind Yamauchi (Myers-),2009,2:23:12,London (GBR),26 APR 2009
Mara Rosalind Yamauchi (Myers-),2008,2:25:03,Tokyo (JPN),16 NOV 2008
Mara Rosalind Yamauchi (Myers-),2007,2:25:41,London (GBR),22 APR 2007
Mara Rosalind Yamauchi (Myers-),2006,2:25:13,London (GBR),23 APR 2006
Mara Rosalind Yamauchi (Myers-),2005,2:27:38,Tokyo (JPN),20 NOV 2005
Mara Rosalind Yamauchi (Myers-),2004,2:39:16,London (GBR),18 APR 2004
Freya Murray (-Ross),2016,2:37:50,"Chicago, IL (USA)",09 OCT 2016
Freya Murray (-Ross),2013,2:35:19,Yokohama (JPN),17 NOV 2013
Freya Murray (-Ross),2012,2:28:10,London (GBR),22 APR 2012
Claire Anne Hallissey (Willer-),2012,2:27:44,London (GBR),22 APR 2012
Claire Anne Hallissey (Willer-),2011,2:29:27,"Chicago, IL (USA)",09 OCT 2011
Claire Anne Hallissey (Willer-),2010,2:36:13,"New York, NY (USA)",07 NOV 2010
Alyson Dixon,2020,2:43:40,Tokyo (JPN),01 MAR 2020
Alyson Dixon,2018,2:38:19,Gold Coast (AUS),15 APR 2018
Alyson Dixon,2017,2:29:06,London (GBR),23 APR 2017
Alyson Dixon,2016,2:31:52,London (GBR),24 APR 2016
Alyson Dixon,2015,2:29:30,Berlin (GER),27 SEP 2015
Alyson Dixon,2013,2:31:10,Brighton (GBR),14 APR 2013
Alyson Dixon,2012,2:35:46,London (GBR),22 APR 2012
Alyson Dixon,2011,2:34:51,Brighton (GBR),10 APR 2011
Alyson Dixon,2010,2:42:50,"New York, NY (USA)",07 NOV 2010
Sonia Samuels,2019,2:36:50,London (GBR),28 APR 2019
Sonia Samuels,2018,2:36:59,Gold Coast (AUS),15 APR 2018
Sonia Samuels,2017,2:29:34,Berlin (GER),24 SEP 2017
Sonia Samuels,2016,2:32:00,London (GBR),24 APR 2016
Sonia Samuels,2015,2:28:04,Berlin (GER),27 SEP 2015
Sonia Samuels,2013,2:39:03,"Luzhniki, Moskva (RUS)",10 AUG 2013
Sonia Samuels,2012,2:30:56,Berlin (GER),30 SEP 2012
Paula Jane Radcliffe (-Lough),2015,2:36:55,London (GBR),26 APR 2015
Paula Jane Radcliffe (-Lough),2011,2:23:46,Berlin (GER),25 SEP 2011
Paula Jane Radcliffe (-Lough),2008,2:32:38,"National Stadium, Beijing (CHN)",17 AUG 2008
Paula Jane Radcliffe (-Lough),2005,2:17:42,London (GBR),17 APR 2005
Paula Jane Radcliffe (-Lough),2003,2:15:25,London (GBR),13 APR 2003
Paula Jane Radcliffe (-Lough),2002,2:17:18,"Chicago, IL (USA)",13 OCT 2002
Susan Julia Tooby (-Wightman),1990,2:55:22,"Poljud Stadion, Split (CRO)",27 AUG 1990
Susan Julia Tooby (-Wightman),1988,2:31:33,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
"Susan Sarah ""Sue"" Crehan (Smart-)",2006,2:21:46,London (GBR),23 APR 2006
"Susan Sarah ""Sue"" Crehan (Smart-)",2005,2:24:00,London (GBR),17 APR 2005
"Susan Sarah ""Sue"" Crehan (Smart-)",2003,2:23:12,London (GBR),13 APR 2003
"Susan Sarah ""Sue"" Crehan (Smart-)",2002,2:23:19,London (GBR),14 APR 2002
"Susan Sarah ""Sue"" Crehan (Smart-)",2001,2:25:45,Rotterdam (NED),22 APR 2001
"Susan Sarah ""Sue"" Crehan (Smart-)",1999,2:26:39,Rotterdam (NED),18 APR 1999
"Susan Sarah ""Sue"" Crehan (Smart-)",1998,2:28:19,Berlin (GER),20 SEP 1998
Anne Marie Lauck (Letko-),2000,2:36:05,"Columbia, SC (USA)",26 FEB 2000
Anne Marie Lauck (Letko-),1999,2:37:59,"Philadelphia, PA (USA)",21 NOV 1999
Anne Marie Lauck (Letko-),1996,2:31:18,"Columbia, SC (USA)",10 FEB 1996
"Jennifer L. ""Jen"" Rhines",2012,2:43:35,"Houston, TX (USA)",14 JAN 2012
"Jennifer L. ""Jen"" Rhines",2006,2:29:32,Roma (ITA),26 MAR 2006
"Jennifer L. ""Jen"" Rhines",2004,2:29:57,St. Louis (USA),03 APR 2004
"Jennifer L. ""Jen"" Rhines",2002,2:41:16,"Chicago, IL (USA)",13 OCT 2002
Blake Russell (Phillips-),2008,2:32:40,"Boston, MA (USA)",20 APR 2008
Blake Russell (Phillips-),2005,2:29:10,"Chicago, IL (USA)",09 OCT 2005
Blake Russell (Phillips-),2004,2:30:32,St. Louis (USA),03 APR 2004
Blake Russell (Phillips-),2003,2:30:41,St. Paul (USA),05 OCT 2003
Shalane Flanagan (-Edwards),2018,2:26:22,"New York, NY (USA)",04 NOV 2018
Shalane Flanagan (-Edwards),2017,2:26:53,"New York, NY (USA)",05 NOV 2017
Shalane Flanagan (-Edwards),2016,2:25:26,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Shalane Flanagan (-Edwards),2014,2:21:14,Berlin (GER),28 SEP 2014
Shalane Flanagan (-Edwards),2012,2:25:38,"Houston, TX (USA)",14 JAN 2012
Shalane Flanagan (-Edwards),2010,2:28:40,"New York, NY (USA)",07 NOV 2010
"Kara Goucher (Grgas-, Wheeler-)",2016,2:30:30,"Los Angeles, CA (USA)",13 FEB 2016
"Kara Goucher (Grgas-, Wheeler-)",2014,2:37:03,"New York, NY (USA)",02 NOV 2014
"Kara Goucher (Grgas-, Wheeler-)",2012,2:26:06,"Houston, TX (USA)",14 JAN 2012
"Kara Goucher (Grgas-, Wheeler-)",2009,2:27:48,"Olympiastadion, Berlin (GER)",23 AUG 2009
"Christine ""Chris"" Clark",2010,3:01:26,"Philadelphia, PA (USA)",21 NOV 2010
"Christine ""Chris"" Clark",2002,2:38:19,"Anchorage, AK (USA)",22 JUN 2002
"Christine ""Chris"" Clark",2000,2:31:35,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
"Christine ""Chris"" Clark",1999,2:40:38,St. Paul (USA),03 OCT 1999
Jane Suuto,2013,2:46:33,Riga (LAT),19 MAY 2013
Jane Suuto,2012,2:42:08,Riga (LAT),20 MAY 2012
Jane Suuto,2011,2:37:43,Caen (FRA),19 JUN 2011
Jane Suuto,2009,2:40:31,Annecy (FRA),18 APR 2009
Jane Suuto,2008,2:48:20,Kampala (UGA),23 NOV 2008
Jane Suuto,2007,2:49:10,Caen (FRA),10 JUN 2007
Jane Suuto,2005,2:48:48,Kampala (UGA),20 NOV 2005
Olha Yevstafivna Kotovska,2019,2:33:55,Osaka (JPN),01 DEC 2019
Olha Yevstafivna Kotovska,2018,2:32:55,Daegu (KOR),01 APR 2018
Olha Yevstafivna Kotovska,2017,2:30:18,Daegu (KOR),02 APR 2017
Olha Yevstafivna Kotovska,2016,2:34:57,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Olha Yevstafivna Kotovska,2015,2:29:13,Hannover (GER),19 APR 2015
Olha Yevstafivna Kotovska,2013,2:30:04,Bournemouth (GBR),06 OCT 2013
Olha Yevstafivna Kotovska,2012,2:33:17,Mainz (GER),06 MAY 2012
Olha Yevstafivna Kotovska,2011,2:34:02,Mainz (GER),08 MAY 2011
Olha Yevstafivna Kotovska,2008,2:39:49,Kraków (POL),04 MAY 2008
Olha Yevstafivna Kotovska,2007,2:39:53,Košice (SVK),07 OCT 2007
Nataliya Serhivna Lehonkova,2019,2:38:26,Frankfurt (GER),27 OCT 2019
Nataliya Serhivna Lehonkova,2018,2:37:43,Warszawa (POL),22 APR 2018
Nataliya Serhivna Lehonkova,2017,2:28:58,Dublin (IRL),29 OCT 2017
Nataliya Serhivna Lehonkova,2016,2:46:08,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
Nataliya Serhivna Lehonkova,2015,2:31:08,Dublin (IRL),26 OCT 2015
Nataliya Serhivna Lehonkova,2014,2:34:54,Linz (AUT),06 APR 2014
Nataliya Serhivna Lehonkova,2013,2:36:50,Belfast (GBR),06 MAY 2013
Nataliya Serhivna Lehonkova,2012,2:38:22,Toulouse (FRA),28 OCT 2012
Nataliya Serhivna Lehonkova,2011,2:43:48,Podgorica (MNE),30 OCT 2011
Nataliya Serhivna Lehonkova,2010,2:57:08,Debno (POL),24 OCT 2010
Nataliya Serhivna Lehonkova,2009,2:48:30,Ljubljana (SLO),25 OCT 2009
Nataliya Serhivna Lehonkova,2008,2:53:06,Košice (SVK),05 OCT 2008
Olena Ivanivna Burkovska,2016,2:57:21,Singapore (SGP),04 DEC 2016
Olena Ivanivna Burkovska,2015,2:29:45,Nagoya (JPN),08 MAR 2015
Olena Ivanivna Burkovska,2014,2:31:30,Istanbul (TUR),16 NOV 2014
Olena Ivanivna Burkovska,2013,2:27:07,Hannover (GER),05 MAY 2013
Olena Ivanivna Burkovska,2012,2:32:16,Seoul (KOR),18 MAR 2012
Olena Ivanivna Burkovska,2011,2:33:30,Tokyo (JPN),27 FEB 2011
Olena Ivanivna Burkovska,2010,2:28:31,Berlin (GER),26 SEP 2010
Olena Ivanivna Burkovska,2009,2:30:50,Košice (SVK),04 OCT 2009
Rutendo Joan Nyahora,2019,2:34:49,Wien (AUT),07 APR 2019
Rutendo Joan Nyahora,2017,2:42:53,"Olympic Stadium, London (GBR)",06 AUG 2017
Rutendo Joan Nyahora,2016,2:39:58,Wien (AUT),10 APR 2016
Tarath Tabitha Tsatsa,2019,2:58:32,Mossel Bay (RSA),24 AUG 2019
Tarath Tabitha Tsatsa,2017,2:49:56,Mossel Bay (RSA),23 SEP 2017
Tarath Tabitha Tsatsa,2016,2:48:15,Cape Town (RSA),18 SEP 2016
Tarath Tabitha Tsatsa,2015,2:49:44,Mossel Bay (RSA),26 SEP 2015
Tarath Tabitha Tsatsa,2014,2:47:08,Mossel Bay (RSA),27 SEP 2014
Tarath Tabitha Tsatsa,2013,2:46:50,Mossel Bay (RSA),28 SEP 2013
Tarath Tabitha Tsatsa,2012,2:41:34,Xiamen (CHN),07 JAN 2012
Tarath Tabitha Tsatsa,2011,2:34:00,Xiamen (CHN),02 JAN 2011
Tarath Tabitha Tsatsa,2010,2:30:39,Dublin (IRL),25 OCT 2010
Tarath Tabitha Tsatsa,2009,2:38:52,Nagoya (JPN),08 MAR 2009
Tarath Tabitha Tsatsa,2008,2:29:20,Seoul (KOR),16 MAR 2008
Tarath Tabitha Tsatsa,2007,2:30:12,Seoul (KOR),18 MAR 2007
Tarath Tabitha Tsatsa,2006,2:32:09,Taipei City (TPE),17 DEC 2006
Tarath Tabitha Tsatsa,2005,2:37:06,Köln (GER),11 SEP 2005
Tarath Tabitha Tsatsa,2002,2:45:08,Mainz (GER),20 MAY 2002
Linda Elisabeth Hunter,1988,2:53:17,"Olympic Stadium, Jamsil, Seoul (KOR)",23 SEP 1988
