athlete,year,performance,place,date
Jussi Pekka Utriainen,2015,2:24:16,Stockholm (SWE),30 MAY 2015
Jussi Pekka Utriainen,2012,2:16:35,Rotterdam (NED),15 APR 2012
Jussi Pekka Utriainen,2003,2:29:03,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003
Jussi Pekka Utriainen,2002,2:13:10,"Sacramento, CA (USA)",08 DEC 2002
"Jacques ""Jacky"" Boxberger",1986,2:14:16,Lille (FRA),06 SEP 1986
"Jacques ""Jacky"" Boxberger",1985,2:10:49,Paris (FRA),11 MAY 1985
"Jacques ""Jacky"" Boxberger",1984,2:11:59,Paris (FRA),12 MAY 1984
"Jacques ""Jacky"" Boxberger",1983,2:12:38,Paris (FRA),14 MAY 1983
"Jacques ""Jacky"" Boxberger",1981,2:15:09,Paris (FRA),24 MAY 1981
Fernand Kolbeck,1979,2:14:59,Liévin (FRA),22 APR 1979
Fernand Kolbeck,1976,2:22:57,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Fernand Kolbeck,1972,2:23:02,"Olympiastadion, München (GER)",10 SEP 1972
"Alexandre ""Alex"" Gonzalez",1989,2:15:47,Milano (ITA),16 APR 1989
"Alexandre ""Alex"" Gonzalez",1988,2:12:52,Huy (BEL),30 APR 1988
"Alexandre ""Alex"" Gonzalez",1986,2:13:36,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
El Hassan Lahssini,2005,2:11:06,Paris (FRA),10 APR 2005
El Hassan Lahssini,2004,2:10:10,Amsterdam (NED),17 OCT 2004
Driss El Himer,2019,2:33:46,München (GER),13 OCT 2019
Driss El Himer,2017,2:27:49,Berlin (GER),24 SEP 2017
Driss El Himer,2011,2:14:46,Berlin (GER),25 SEP 2011
Driss El Himer,2009,2:16:39,Paris (FRA),05 APR 2009
Driss El Himer,2008,2:12:08,Rotterdam (NED),13 APR 2008
Driss El Himer,2006,2:16:44,Berlin (GER),24 SEP 2006
Driss El Himer,2005,2:22:50,Berlin (GER),25 SEP 2005
Driss El Himer,2004,2:11:55,Tokyo (JPN),08 FEB 2004
Driss El Himer,2003,2:06:48,Paris (FRA),06 APR 2003
Driss El Himer,2002,2:11:51,"Chicago, IL (USA)",13 OCT 2002
Driss El Himer,2001,2:07:02,Amsterdam (NED),21 OCT 2001
Mohamed Ouaadi,2006,2:13:23,Beppu (JPN),04 FEB 2006
Mohamed Ouaadi,2004,2:15:33,Fukuoka (JPN),05 DEC 2004
Mohamed Ouaadi,2003,2:15:33,Paris (FRA),06 APR 2003
Mohamed Ouaadi,2002,2:09:00,Otsu (JPN),03 MAR 2002
Mohamed Ouaadi,2001,2:09:26,"Chicago, IL (USA)",07 OCT 2001
Mohamed Ouaadi,2000,2:08:49,Paris (FRA),09 APR 2000
Mohamed Ouaadi,1999,2:07:55,Fukuoka (JPN),05 DEC 1999
Mohamed Ouaadi,1998,2:09:54,Reims (FRA),11 OCT 1998
Alain Lazare,1988,2:12:24,Huy (BEL),30 APR 1988
Alain Lazare,1987,2:13:43,Seoul (KOR),12 APR 1987
Alain Lazare,1986,2:14:14,Lyon (FRA),25 OCT 1986
Alain Lazare,1985,2:12:53,Hiroshima (JPN),14 APR 1985
Alain Lazare,1984,2:11:59,Tokyo (JPN),12 FEB 1984
Alain Lazare,1983,2:12:51,Rouffach (FRA),23 OCT 1983
Alain Lazare,1982,2:19:21,Brisbane (AUS),29 AUG 1982
Simon Munyutu,2019,2:29:21,Annecy (FRA),14 APR 2019
Simon Munyutu,2017,2:34:29,Caen (FRA),11 JUN 2017
Simon Munyutu,2016,2:19:12,Paris (FRA),03 APR 2016
Simon Munyutu,2015,2:22:29,Caen (FRA),14 JUN 2015
Simon Munyutu,2014,2:18:46,Paris (FRA),06 APR 2014
Simon Munyutu,2013,2:21:43,Toulouse (FRA),27 OCT 2013
Simon Munyutu,2011,2:13:21,Paris (FRA),10 APR 2011
Simon Munyutu,2009,2:17:53,"Olympiastadion, Berlin (GER)",22 AUG 2009
Simon Munyutu,2008,2:09:24,Paris (FRA),06 APR 2008
Simon Munyutu,2007,2:11:39,Reims (FRA),21 OCT 2007
Simon Munyutu,2006,2:14:42,Reims (FRA),15 OCT 2006
Luis Soares,2002,2:26:57,Mont-Saint-Michel (FRA),16 JUN 2002
Luis Soares,1999,2:12:53,Bordeaux (FRA),18 APR 1999
Luis Soares,1992,2:10:03,Paris (FRA),29 MAR 1992
Luis Soares,1991,2:12:53,London (GBR),21 APR 1991
Luis Soares,1988,2:14:28,Lille (FRA),03 SEP 1988
Alain (Ali-) Mimoun Ould Kacha,1960,2:31:20,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Alain (Ali-) Mimoun Ould Kacha,1956,2:25:00,"Cricket Ground, Melbourne (AUS)",01 DEC 1956
Pascal Zilliox,1997,2:16:22,Paris (FRA),06 APR 1997
Pascal Zilliox,1996,2:14:43,Puteaux (FRA),10 NOV 1996
Pascal Zilliox,1992,2:11:11,Paris (FRA),29 MAR 1992
Pascal Zilliox,1991,2:12:59,London (GBR),21 APR 1991
Pascal Zilliox,1990,2:13:10,London (GBR),22 APR 1990
Pascal Zilliox,1989,2:15:52,Paris (FRA),30 APR 1989
Daviti Kharazishvili,2017,2:18:04,Praha (CZE),07 MAY 2017
Daviti Kharazishvili,2016,2:20:47,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Daviti Kharazishvili,2015,2:16:17,Berlin (GER),27 SEP 2015
Paul Angenvoorth,1972,2:20:19,"Olympiastadion, München (GER)",10 SEP 1972
Manfred Steffny,1991,2:13:45,Frankfurt (GER),20 OCT 1991
Manfred Steffny,1990,2:12:44,Berlin (GER),30 SEP 1990
Manfred Steffny,1989,2:11:30,München (GER),23 APR 1989
Manfred Steffny,1988,2:11:54,London (GBR),17 APR 1988
Manfred Steffny,1987,2:19:24,"Stadio Olimpico, Roma (ITA)",06 SEP 1987
Manfred Steffny,1986,2:11:17,"Chicago, IL (USA)",26 OCT 1986
Manfred Steffny,1985,2:11:49,Hiroshima (JPN),14 APR 1985
Hannes Waldemar Cierpinski,2014,2:17:25,Berlin (GER),28 SEP 2014
Hannes Waldemar Cierpinski,2013,2:14:50,Berlin (GER),29 SEP 2013
Hannes Waldemar Cierpinski,2012,2:18:52,Köln (GER),14 OCT 2012
Hannes Waldemar Cierpinski,2010,2:17:18,Düsseldorf (GER),02 MAY 2010
Hannes Waldemar Cierpinski,2009,2:17:12,Düsseldorf (GER),03 MAY 2009
Hannes Waldemar Cierpinski,2008,2:13:30,Berlin (GER),28 SEP 2008
Hannes Waldemar Cierpinski,2007,2:19:06,Berlin (GER),30 SEP 2007
Hannes Waldemar Cierpinski,2006,2:24:27,Sydney (AUS),17 SEP 2006
Eckhard Lesse,1978,2:16:20,Praha (TCH),08 MAY 1978
Eckhard Lesse,1977,2:16:11,Karl Marx Stadt (GDR),30 APR 1977
Eckhard Lesse,1975,2:12:43,Fukuoka (JPN),07 DEC 1975
Eckhard Lesse,1974,2:12:03,Fukuoka (JPN),08 DEC 1974
Eckhard Lesse,1972,2:22:50,"Olympiastadion, München (GER)",10 SEP 1972
Michael Fietz,2003,2:23:17,Duisburg (GER),01 JUN 2003
Michael Fietz,2002,2:15:47,Köln (GER),06 OCT 2002
Michael Fietz,2001,2:16:23,Frankfurt (GER),28 OCT 2001
Michael Fietz,2000,2:11:28,Rotterdam (NED),16 APR 2000
Michael Fietz,1999,2:14:58,Hamburg (GER),25 APR 1999
Michael Fietz,1998,2:13:51,Frankfurt (GER),25 OCT 1998
Michael Fietz,1997,2:10:59,Frankfurt (GER),26 OCT 1997
Stephan Timo Freigang,2004,2:14:02,Hannover (GER),02 MAY 2004
Stephan Timo Freigang,2002,2:20:12,Leipzig (GER),28 APR 2002
Stephan Timo Freigang,2001,2:14:27,Lisboa (POR),02 DEC 2001
Stephan Timo Freigang,1999,2:13:48,Hannover (GER),16 MAY 1999
Stephan Timo Freigang,1998,2:12:16,Hannover (GER),05 APR 1998
Stephan Timo Freigang,1997,2:11:58,Köln (GER),05 OCT 1997
Stephan Timo Freigang,1996,2:11:39,Rotterdam (NED),28 APR 1996
Stephan Timo Freigang,1995,2:10:12,Oita (JPN),05 FEB 1995
Stephan Timo Freigang,1993,2:11:53,Frankfurt (GER),17 OCT 1993
Stephan Timo Freigang,1992,2:14:00,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992
Stephan Timo Freigang,1991,2:12:00,Palermo (ITA),08 DEC 1991
Stephan Timo Freigang,1990,2:09:45,Berlin (GER),30 SEP 1990
Stephan Timo Freigang,1988,2:12:28,Fukuoka (JPN),04 DEC 1988
Stephan Timo Freigang,1987,2:14:37,Budapest (HUN),25 OCT 1987
Philipp Pflieger,2018,2:13:39,Hamburg (GER),29 APR 2018
Philipp Pflieger,2016,2:18:56,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Philipp Pflieger,2015,2:12:50,Berlin (GER),27 SEP 2015
Konrad Waldemar Dobler,1996,2:13:29,Hannover (GER),14 APR 1996
Konrad Waldemar Dobler,1995,2:12:57,Hamburg (GER),30 APR 1995
Konrad Waldemar Dobler,1994,2:12:57,Tokyo (JPN),13 FEB 1994
Konrad Waldemar Dobler,1993,2:18:28,"Gottlieb-Daimler Stadion, Stuttgart (GER)",14 AUG 1993
Konrad Waldemar Dobler,1992,2:13:16,Frankfurt (GER),25 OCT 1992
Konrad Waldemar Dobler,1991,2:11:57,London (GBR),21 APR 1991
Konrad Waldemar Dobler,1990,2:13:29,Frankfurt (GER),28 OCT 1990
Konrad Waldemar Dobler,1989,2:13:51,Milano (ITA),16 APR 1989
Konrad Waldemar Dobler,1988,2:14:17,Berlin (GER),09 OCT 1988
Lothar Carsten Eich,2007,2:21:23,Düsseldorf (GER),06 MAY 2007
Lothar Carsten Eich,2004,2:14:06,Düsseldorf (GER),02 MAY 2004
Lothar Carsten Eich,2003,2:15:28,Köln (GER),05 OCT 2003
Lothar Carsten Eich,2002,2:13:47,Leipzig (GER),28 APR 2002
Lothar Carsten Eich,2000,2:12:51,Hamburg (GER),16 APR 2000
Lothar Carsten Eich,1999,2:10:22,Hamburg (GER),25 APR 1999
Lothar Carsten Eich,1998,2:10:55,Köln (GER),11 OCT 1998
Lothar Carsten Eich,1994,2:17:54,"Olympic Stadium, Helsinki (FIN)",14 AUG 1994
"Nikolaos ""Nikos"" Polias",2004,2:15:02,London (GBR),18 APR 2004
"Nikolaos ""Nikos"" Polias",2003,2:13:53,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003
"Nikolaos ""Nikos"" Polias",2002,2:18:30,Rotterdam (NED),21 APR 2002
"Nikolaos ""Nikos"" Polias",2001,2:17:15,Köln (GER),07 OCT 2001
"Nikolaos ""Nikos"" Polias",2000,2:16:47,Praha (CZE),21 MAY 2000
"Nikolaos ""Nikos"" Polias",1999,2:16:31,London (GBR),18 APR 1999
"Nikolaos ""Nikos"" Polias",1998,2:16:36,"Népstadion, Budapest (HUN)",22 AUG 1998
"Nikolaos ""Nikos"" Polias",1997,2:21:03,"Olympic Stadium, Athina (GRE)",10 AUG 1997
"Spyridon ""Spyros"" Andriopoulos",1998,2:14:12,London (GBR),26 APR 1998
"Spyridon ""Spyros"" Andriopoulos",1997,2:13:15,Agrinio (GRE),06 APR 1997
"Spyridon ""Spyros"" Andriopoulos",1996,2:19:41,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
"Spyridon ""Spyros"" Andriopoulos",1994,2:19:01,"Olympic Stadium, Helsinki (FIN)",14 AUG 1994
"Spyridon ""Spyros"" Andriopoulos",1990,2:13:47,"Chicago, IL (USA)",28 OCT 1990
"Spyridon ""Spyros"" Andriopoulos",1989,2:12:59,Berlin (GER),01 OCT 1989
"Spyridon ""Spyros"" Andriopoulos",1988,2:12:04,Berlin (GER),09 OCT 1988
"Spyridon ""Spyros"" Andriopoulos",1987,2:14:13,Seoul (KOR),12 APR 1987
Carlos Octavio Cuque Lpez,1972,2:28:37,"Olympiastadion, München (GER)",10 SEP 1972
Carlos Octavio Cuque Lpez,1968,2:45:21,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
Julio Faustino Quevedo Elias,1972,2:40:39,"Olympiastadion, München (GER)",10 SEP 1972
Juan Carlos Trujillo,2019,2:18:40,"Houston, TX (USA)",20 JAN 2019
Juan Carlos Trujillo,2017,2:33:42,"Olympic Stadium, London (GBR)",06 AUG 2017
Juan Carlos Trujillo,2016,2:18:54,"Eugene, OR (USA)",01 MAY 2016
Juan Carlos Trujillo,2014,2:16:49,"Chicago, IL (USA)",12 OCT 2014
Juan Carlos Trujillo,2013,2:17:48,Fukuoka (JPN),01 DEC 2013
Juan Carlos Trujillo,2012,2:14:21,"Chicago, IL (USA)",07 OCT 2012
Harry Prowell,1968,2:57:02,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
Luis Antonio Raudales,1976,2:29:25,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Gyula Borka,1992,2:13:15,Lille (FRA),05 SEP 1992
Gyula Borka,1991,2:13:56,Fukuoka (JPN),01 DEC 1991
Gyula Borka,1989,2:14:49,Wien (AUT),16 APR 1989
Gyula Borka,1988,2:17:34,Berlin (GER),09 OCT 1988
Gyula Borka,1986,2:13:45,Szeged (HUN),22 MAR 1986
Gyula Borka,1985,2:14:02,Berlin (GER),29 SEP 1985
Gyula Borka,1984,2:16:17,London (GBR),13 MAY 1984
Gyula Borka,1983,2:17:16,Budapest (HUN),30 OCT 1983
Gyula Borka,1981,2:28:12,Szeged (HUN),30 MAY 1981
Gyula Borka,1980,2:18:12,Budapest (HUN),02 NOV 1980
Kheta Ram,2017,2:19:51,Mumbai (IND),15 JAN 2017
Kheta Ram,2016,2:15:26,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Kheta Ram,2015,2:22:32,Thane (IND),21 NOV 2015
Hari Chand,1980,2:22:08,"Lenin Stadium, Moskva (URS)",01 AUG 1980
Shivnath Singh,1978,2:12:00,Jullundur (IND),28 MAY 1978
Shivnath Singh,1976,2:16:22,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Nitendra Singh Rawat,2019,2:15:59,London (GBR),28 APR 2019
Nitendra Singh Rawat,2016,2:15:18,Guwahati (IND),12 FEB 2016
Lal Chand Nil,1960,2:32:13,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Harbans Lal,1964,2:37:06,"National Stadium, Tokyo (JPN)",21 OCT 1964
Balkrishan Akotkar,1964,2:29:28,"National Stadium, Tokyo (JPN)",21 OCT 1964
Ethel Hudson,1996,2:26:02,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
John Treacy,1992,2:12:29,"Los Angeles, CA (USA)",01 MAR 1992
John Treacy,1990,2:11:23,Tokyo (JPN),12 FEB 1990
John Treacy,1984,2:09:56,"Memorial Coliseum, Los Angeles, CA (USA)",12 AUG 1984
Neil Cusack,1981,2:13:58,Dublin (IRL),26 OCT 1981
Neil Cusack,1976,2:35:48,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Neil Cusack,1974,2:13:39,"Boston, MA (USA)",15 APR 1974
Paul Pollock,2019,2:10:25,Valencia (ESP),01 DEC 2019
Paul Pollock,2018,2:23:26,"Olympiastadion, Berlin (GER)",12 AUG 2018
Paul Pollock,2017,2:15:30,Oita (JPN),05 FEB 2017
Paul Pollock,2016,2:16:24,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Paul Pollock,2015,2:15:38,Berlin (GER),27 SEP 2015
Paul Pollock,2013,2:16:42,"Luzhniki, Moskva (RUS)",17 AUG 2013
Paul Pollock,2012,2:16:30,Dublin (IRL),29 OCT 2012
John Frances Woods,1988,2:11:30,Wexford (IRL),24 APR 1988
Kevin Seaward,2020,2:10:09,Sevilla (ESP),23 FEB 2020
Kevin Seaward,2019,2:13:39,Berlin (GER),29 SEP 2019
Kevin Seaward,2018,2:16:58,"Olympiastadion, Berlin (GER)",12 AUG 2018
Kevin Seaward,2017,2:15:50,Berlin (GER),24 SEP 2017
Kevin Seaward,2016,2:20:06,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Kevin Seaward,2015,2:14:52,Berlin (GER),27 SEP 2015
Kevin Seaward,2014,2:18:46,Manchester (GBR),06 APR 2014
"Desmond ""Des"" McGann",1972,2:28:32,"Olympiastadion, München (GER)",10 SEP 1972
Mark Kenneally,2019,2:16:34,Dublin (IRL),27 OCT 2019
Mark Kenneally,2012,2:21:13,"Olympic Stadium, London (GBR)",12 AUG 2012
Mark Kenneally,2011,2:13:55,Amsterdam (NED),16 OCT 2011
"Donald ""Donie"" Walsh",1972,2:15:21,Athlone (USA),25 JUN 1972
Ageze Guadie,2020,2:12:06,Sevilla (ESP),23 FEB 2020
Ageze Guadie,2019,2:15:46,Berlin (GER),29 SEP 2019
Ageze Guadie,2018,2:21:31,See Genezareth (ISR),07 JAN 2018
Ageze Guadie,2017,2:23:03,Berlin (GER),24 SEP 2017
Ageze Guadie,2016,2:18:54,Rotterdam (NED),10 APR 2016
Asaf Bimro,2013,2:27:47,See Genezareth (ISR),10 JAN 2013
Asaf Bimro,2010,2:19:26,Paris (FRA),11 APR 2010
Asaf Bimro,2009,2:20:07,See Genezareth (ISR),08 JAN 2009
Asaf Bimro,2008,2:18:46,See Genezareth (ISR),10 JAN 2008
Asaf Bimro,2007,2:17:34,See Genezareth (ISR),04 JAN 2007
Asaf Bimro,2006,2:19:18,See Genezareth (ISR),05 JAN 2006
Asaf Bimro,2005,2:16:02,Paris (FRA),10 APR 2005
Asaf Bimro,2004,2:16:03,See Genezareth (ISR),08 JAN 2004
Asaf Bimro,2003,2:14:52,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003
Asaf Bimro,2002,2:17:30,München (GER),11 AUG 2002
Asaf Bimro,2001,2:18:46,See Genezareth (ISR),05 JAN 2001
Asaf Bimro,2000,2:17:53,Rotterdam (NED),16 APR 2000
Asaf Bimro,1997,2:16:47,See Genezareth (ISR),08 JAN 1997
Zohar Zemiro,2015,2:18:08,See Genezareth (ISR),09 JAN 2015
Zohar Zemiro,2014,2:16:25,See Genezareth (ISR),10 JAN 2014
Zohar Zemiro,2013,2:16:50,Rotterdam (NED),14 APR 2013
Zohar Zemiro,2012,2:15:06,See Genezareth (ISR),12 JAN 2012
Zohar Zemiro,2011,2:14:28,Rotterdam (NED),10 APR 2011
Zohar Zemiro,2010,2:20:59,Paris (FRA),11 APR 2010
Zohar Zemiro,2009,2:23:48,Berlin (GER),20 SEP 2009
Tasama Moogas,2019,2:13:40,Firenze (ITA),24 NOV 2019
Tasama Moogas,2017,2:18:33,London (GBR),23 APR 2017
Tasama Moogas,2016,2:30:30,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Tasama Moogas,2015,2:15:29,Berlin (GER),27 SEP 2015
Ruggero Pertile,2016,2:12:17,Padova (ITA),17 APR 2016
Ruggero Pertile,2015,2:14:23,"National Stadium, Beijing (CHN)",22 AUG 2015
Ruggero Pertile,2014,2:14:18,"Letzigrund, Zürich (SUI)",17 AUG 2014
Ruggero Pertile,2012,2:10:06,Otsu (JPN),04 MAR 2012
Ruggero Pertile,2011,2:11:23,Milano (ITA),10 APR 2011
Ruggero Pertile,2010,2:10:58,Torino (ITA),14 NOV 2010
Ruggero Pertile,2009,2:09:53,Torino (ITA),19 APR 2009
Ruggero Pertile,2008,2:13:39,"National Stadium, Beijing (CHN)",24 AUG 2008
Ruggero Pertile,2005,2:11:13,Otsu (JPN),06 MAR 2005
Ruggero Pertile,2004,2:10:12,Roma (ITA),28 MAR 2004
Ruggero Pertile,2003,2:13:45,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003
Ruggero Pertile,2002,2:10:39,Milano (ITA),01 DEC 2002
Ruggero Pertile,1999,2:15:00,Venezia (ITA),24 OCT 1999
Davide Milesi,2002,2:32:02,Parabita (ITA),27 JAN 2002
Davide Milesi,2001,2:30:24,Milano (ITA),02 DEC 2001
Davide Milesi,2000,2:20:13,Milano (ITA),03 DEC 2000
Davide Milesi,1999,2:20:19,Monaco (MON),21 NOV 1999
Davide Milesi,1997,2:14:56,Carpi (ITA),12 OCT 1997
Davide Milesi,1996,2:13:30,Carpi (ITA),13 OCT 1996
Davide Milesi,1995,2:11:58,Berlin (GER),24 SEP 1995
Davide Milesi,1994,2:12:44,Wien (AUT),10 APR 1994
Davide Milesi,1992,2:14:31,Cesano Boscone (ITA),08 NOV 1992
Francesco Perrone,1960,2:31:32,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Salvatore Bettiol,2001,2:19:55,Siracusa (ITA),28 JAN 2001
Salvatore Bettiol,2000,2:21:38,Istanbul (TUR),15 OCT 2000
Salvatore Bettiol,1999,2:12:38,Venezia (ITA),24 OCT 1999
Salvatore Bettiol,1997,2:13:52,Paris (FRA),06 APR 1997
Salvatore Bettiol,1996,2:17:27,"Olympic Stadium, Atlanta, GA (USA)",04 AUG 1996
Salvatore Bettiol,1995,2:11:49,Rotterdam (NED),23 APR 1995
Salvatore Bettiol,1994,2:09:40,London (GBR),17 APR 1994
Salvatore Bettiol,1993,2:11:44,Venezia (ITA),10 OCT 1993
Salvatore Bettiol,1992,2:14:15,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992
Salvatore Bettiol,1991,2:11:48,Carpi (ITA),27 OCT 1991
Salvatore Bettiol,1990,2:10:40,London (GBR),22 APR 1990
Salvatore Bettiol,1989,2:12:41,Milano (ITA),16 APR 1989
Salvatore Bettiol,1987,2:11:28,Seoul (KOR),12 APR 1987
Salvatore Bettiol,1986,2:13:27,"New York, NY (USA)",02 NOV 1986
Salvatore Bettiol,1985,2:14:18,Carpi (ITA),20 OCT 1985
Alessio Faustini,1992,2:11:03,Torino (ITA),20 APR 1992
Alessio Faustini,1991,2:12:12,London (GBR),21 APR 1991
Alessio Faustini,1990,2:12:12,Palermo (ITA),09 DEC 1990
Alessio Faustini,1989,2:13:56,Roma (ITA),19 NOV 1989
Alessio Faustini,1988,2:12:02,Roma (ITA),20 NOV 1988
Alessio Faustini,1986,2:13:27,Fukuoka (JPN),07 DEC 1986
Alessio Faustini,1985,2:13:55,Hiroshima (JPN),14 APR 1985
Alessio Faustini,1982,2:10:36,Roma (ITA),03 JAN 1982
Stefano Baldini,2008,2:13:06,London (GBR),13 APR 2008
Stefano Baldini,2006,2:07:22,London (GBR),23 APR 2006
Stefano Baldini,2005,2:09:25,London (GBR),17 APR 2005
Stefano Baldini,2004,2:08:37,London (GBR),18 APR 2004
Stefano Baldini,2003,2:07:56,London (GBR),13 APR 2003
Stefano Baldini,2002,2:07:29,London (GBR),14 APR 2002
Stefano Baldini,2001,2:08:51,Torino (ITA),01 APR 2001
Stefano Baldini,2000,2:09:45,London (GBR),16 APR 2000
Stefano Baldini,1998,2:09:33,Roma (ITA),29 MAR 1998
Stefano Baldini,1997,2:07:57,London (GBR),13 APR 1997
"Antonio ""Antonino"" Ambu",1968,2:33:20,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
"Antonio ""Antonino"" Ambu",1964,2:34:38,"National Stadium, Tokyo (JPN)",21 OCT 1964
Antonio Brutti,1972,2:22:12,"Olympiastadion, München (GER)",10 SEP 1972
Antonio Brutti,1971,2:19:35,Helsinki (FIN),15 AUG 1971
Franco De Menego,1972,2:26:53,"Olympiastadion, München (GER)",10 SEP 1972
Massimo Magnani,1985,2:11:02,Hiroshima (JPN),14 APR 1985
Massimo Magnani,1984,2:11:54,"Houston, TX (USA)",15 JAN 1984
Massimo Magnani,1982,2:11:28,Ferrara (ITA),02 MAY 1982
Massimo Magnani,1981,2:13:29,Agen (FRA),13 SEP 1981
Massimo Magnani,1980,2:13:12,"Lenin Stadium, Moskva (URS)",01 AUG 1980
Massimo Magnani,1978,2:12:46,Praha (TCH),03 SEP 1978
Massimo Magnani,1976,2:16:57,"Olympic Stadium, Montreal (CAN)",31 JUL 1976
Marco Marchei,1984,2:22:38,"Memorial Coliseum, Los Angeles, CA (USA)",12 AUG 1984
Marco Marchei,1983,2:11:47,"Olympic Stadium, Helsinki (FIN)",14 AUG 1983
Marco Marchei,1980,2:23:21,"Lenin Stadium, Moskva (URS)",01 AUG 1980
Giorgio Jegher,1964,2:24:46,"National Stadium, Tokyo (JPN)",21 OCT 1964
Giacomo Leone,2008,2:17:04,Parabita (ITA),27 JAN 2008
Giacomo Leone,2002,2:14:20,Seoul (KOR),17 MAR 2002
Giacomo Leone,2001,2:07:52,Otsu (JPN),04 MAR 2001
Giacomo Leone,2000,2:08:41,Roma (ITA),01 JAN 2000
Giacomo Leone,1999,2:10:03,London (GBR),18 APR 1999
Giacomo Leone,1998,2:09:46,Tokyo (JPN),08 FEB 1998
Giacomo Leone,1997,2:09:07,Rotterdam (NED),20 APR 1997
Daniele Caimmi,2015,2:26:05,Russi (ITA),06 APR 2015
Daniele Caimmi,2010,2:12:49,Treviso (ITA),14 MAR 2010
Daniele Caimmi,2009,2:15:14,Firenze (ITA),29 NOV 2009
Daniele Caimmi,2007,2:11:10,Torino (ITA),15 APR 2007
Daniele Caimmi,2006,2:09:30,Roma (ITA),26 MAR 2006
Daniele Caimmi,2004,2:23:07,"Olympic Stadium, Athina (GRE)",29 AUG 2004
Daniele Caimmi,2003,2:09:29,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003
Daniele Caimmi,2002,2:08:59,Milano (ITA),01 DEC 2002
Daniele Caimmi,2001,2:10:26,Venezia (ITA),28 OCT 2001
Daniele Caimmi,1999,2:11:29,Rotterdam (NED),18 APR 1999
Daniele Caimmi,1998,2:12:41,Venezia (ITA),25 OCT 1998
Daniele Caimmi,1996,2:13:46,Carpi (ITA),13 OCT 1996
Gelindo Bordin,1991,2:17:03,"Olympic Stadium, Tokyo (JPN)",01 SEP 1991
Gelindo Bordin,1990,2:13:42,Venezia (ITA),07 OCT 1990
Gelindo Bordin,1988,2:10:32,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Gelindo Bordin,1987,2:12:40,"Stadio Olimpico, Roma (ITA)",06 SEP 1987
Gelindo Bordin,1986,2:10:54,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
Gelindo Bordin,1985,2:11:29,Hiroshima (JPN),14 APR 1985
Orlando Pizzolato,1989,2:15:46,Milano (ITA),16 APR 1989
Orlando Pizzolato,1988,2:15:20,"Olympic Stadium, Jamsil, Seoul (KOR)",02 OCT 1988
Orlando Pizzolato,1987,2:12:50,"New York, NY (USA)",01 NOV 1987
Orlando Pizzolato,1986,2:10:57,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
Orlando Pizzolato,1985,2:10:23,Hiroshima (JPN),14 APR 1985
Silvio De Florentiis,1960,2:31:54,"Stadio Olimpico, Roma (ITA)",10 SEP 1960
Gioacchino De Palma,1968,2:39:59,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968
Gioacchino De Palma,1966,2:25:11,Budapest (HUN),04 SEP 1966
Stefano La Rosa,2019,2:13:48,Berlin (GER),29 SEP 2019
Stefano La Rosa,2018,2:11:08,Sevilla (ESP),25 FEB 2018
Stefano La Rosa,2017,2:12:26,Treviso (ITA),05 MAR 2017
Stefano La Rosa,2016,2:18:57,"Estádio Olímpico, Rio de Janeiro (BRA)",21 AUG 2016
Stefano La Rosa,2015,2:11:11,Amsterdam (NED),18 OCT 2015
Danilo Goffi,2014,2:17:20,Milano (ITA),06 APR 2014
Danilo Goffi,2013,2:23:22,"New York, NY (USA)",03 NOV 2013
Danilo Goffi,2010,2:14:38,Torino (ITA),14 NOV 2010
Danilo Goffi,2009,2:12:45,Firenze (ITA),29 NOV 2009
