Name,Score
Birhanu Addisie,1128
Berhane Tsegay Tekle,1128
Ryoma Takeuchi,1128
Youssef Sbaai,1128
Yuki Tsutsumi,1128
Dewi Griffiths,1127
Tsubasa Hayakawa,1127
Stephen Kipchirchir,1127
Pharis Kimani,1127
Natsuki Terada,1127
Yuya Yoshida,1126
Trevor Hofbauer,1126
Belay Tilahun Bezabeh,1126
Josphat Leting,1126
Amanal Petros,1125
Peter Herzog,1125
Shaohui Yang,1124
Bernard Lagat,1124
Allan Kiprono,1124
Samuel Mwaniki,1124
Noah Kemboi Kangogo,1124
Hiroki Sugawa,1123
Hiroyuki Yamamoto,1122
Keita Shitara,1122
Paul Kipkorir Kipkemboi,1122
Marcin Chabowski,1122
Eliud Barngetuny,1122
Yemane Tsegay,1122
Silas Kipngetich Sang,1122
Hiroki Yamagishi,1122
Ezekiel Chepkorom,1122
Gilbert Chumba,1122
Felix Kibitok,1122
Kalipus Lomwai,1122
Daniel Chaves Da Silva,1122
Elkanah Kibet,1122
Hiromasa Kumahashi,1121
Shuho Dairokuno,1121
Adbi Hakin Ulad,1121
William Wanjiku,1121
Michael Clohisey,1120
Abel Kirui,1120
Teshome Girma,1120
John Korir,1120
Endale Abayneh,1120
Junnosuke Matsuo,1119
Jong-Sub Shim,1119
Brendan Gregg,1119
Scott Smith,1119
Melkam Jamber,1119
Roba Gebre,1119
Kazuki Takeshita,1119
Thijs Nijhuis,1118
Mykola Nyzhnyk,1118
Alex Kibet,1118
Motlokoa Mkhabutlane,1118
Tadesse Temechachu,1118
Moses Mwarur,1118
Florian Carvalho,1117
Ebba Tulu Chala,1117
Hendrik Pfeiffer,1117
Abraham Akopesha,1117
Samuel Lomoi,1117
Hugh Armstrong,1116
Weldu Negash Gebretsadik,1116
Daisuke Hosomori,1116
Kennedy Kwemoi,1116
Wilson Kwambai Chebet,1116
Mustafa Mohamed,1115
Martin Hehir,1115
Zicheng Li,1115
Alex Saekwo,1115
Cyrus Mutai,1115
Yohei Suzuki,1114
Chihiro Miyawaki,1114
Tomoyasu Matsui,1114
Edwin Kiptoo,1114
Stepan Kiselyov,1114
Cosmas Matolo,1114
Cj Albertson,1114
Bazezew Asmare,1114
Bernard Kiprop Kipyego,1113
Henryk Szost,1113
Abraham Girma,1113
Khalid Choukoud,1112
Godfrey Kosgei,1112
Shogo Kanezane,1112
Kibrom Weldemicael,1112
Yavuz Agrali,1112
Justus Kangogo,1112
Andrew Colley,1111
Shadrack Kiptoo Biwott,1111
Asefa Bekele,1111
Segundo Jami,1111
Ryuji Okada,1110
Azmeraw Mengistu,1110
Erick Leon Ndiema,1110
Siraj Amda Gena,1110
Joel Mwaura,1109
Jonas Hampton,1109
Tom Gröschel,1109
Dereje Debele,1109
Kenta Inuma,1108
Mert Girmalegesse,1108
Demeke Kasaw,1108
Kohei Ogino,1107
Wellington Bezerra Da Silva,1107
Habtamu Asefa,1107
Noah Droddy,1107
Colin Mickow,1107
Stephen Sambu,1106
Yasuyuki Nakamura,1106
Shume Tafa,1106
