Rank,Name,Nationality,Time,Notes
72,Munkhzaya Bayartsogt,Mongolia,2:43:55,
73,Erika Abril,Colombia,2:44:05,
74,Manuela Soccol,Belgium,2:44:18,
75,Alina Armas,Namibia,2:44:20,
76,Breege Connolly,Ireland,2:44:41,
77,Marina Hmelevskaya,Uzbekistan,2:45:06,
78,Marily dos Santos,Brazil,2:45:08,
79,Hua Shaoqing,China,2:45:09,
80,Nebiat Habtemariam,Eritrea,2:45:21,
81,Anna Hahner,Germany,2:45:32,
82,Lisa Hahner,Germany,2:45:33,
83,Tünde Szabó,Hungary,2:45:37,
84,Els Rens,Belgium,2:45:52,
85,Luvsanlkhündegiin Otgonbayar,Mongolia,2:45:55,
86,Visiline Jepkesho,Kenya,2:46:05,
87,Nataliya Lehonkova,Ukraine,2:46:08,
88,Ourania Rebouli,Greece,2:46:32,
89,O. P. Jaisha,India,2:47:19,
90,Maor Tiyouri,Israel,2:47:27,
91,Jane Vongvorachoti,Thailand,2:47:27,
92,Rutendo Nyahora,Zimbabwe,2:47:32,
93,Yolimar Pineda,Venezuela,2:47:34,
94,Mariya Korobitskaya,Kyrgyzstan,2:47:53,
95,Silvia Paredes,Ecuador,2:48:01,
96,Christine Kalmer,South Africa,2:48:24,
97,Lily Luik,Estonia,2:48:29,
98,Tereza Master,Malawi,2:48:34,NR
99,María Elena Calle,Ecuador,2:48:39,
100,Rosa Chacha,Ecuador,2:48:52,
101,Paula Todoran,Romania,2:48:54,
102,Dailín Belmonte,Cuba,2:48:58,
103,Sofia Riga,Greece,2:49:07,
104,Matea Matošević,Croatia,2:50:00,
105,Érika Olivera,Chile,2:50:29,
106,Ariana Hilborn,Latvia,2:50:51,
107,Katarína Berešová,Slovakia,2:50:54,
108,Militsa Mircheva,Bulgaria,2:51:06,
109,Chirine Njeim,Lebanon,2:51:08,
110,Rosa Godoy,Argentina,2:52:31,
111,Sultan Haydar,Turkey,2:53:57,
112,Meryem Erdoğan,Turkey,2:54:04,
113,Hsieh Chien-ho,Chinese Taipei,2:54:18,
114,Leila Luik,Estonia,2:54:38,
115,Carmen Martínez,Paraguay,2:56:43,
116,Lucia Kimani,Bosnia and Herzegovina,2:58:22,
117,Rosemary Quispe,Bolivia,2:58:32,
118,Panayiota Vlahaki,Greece,2:59:12,
119,Marija Vrajić,Croatia,2:59:24,
120,Kavita Tungar,India,2:59:29,
121,Sara Ramadhani,Tanzania,3:00:03,
122,Irina Smolnikova,Kazakhstan,3:00:31,
123,Natalia Romero,Chile,3:01:29,
124,Mary Joy Tabal,Philippines,3:02:27,
125,Viviana Chavez,Argentina,3:03:23,
126,Claudette Mukasakindi,Rwanda,3:05:57,
127,Chen Yu-hsuan,Chinese Taipei,3:09:13,
128,Graciete Santana,Brazil,3:09:15,
129,Niluka Geethani Rajasekara,Sri Lanka,3:11:05,
130,Natthaya Thanaronnawat,Thailand,3:11:31,
131,Neo Jie Shi,Singapore,3:15:18,
132,Sarah Attar,Saudi Arabia,3:16:11,
133,Nary Ly,Cambodia,3:20:20,
